"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_4_asymp","Exp",611486,10000,10,10,0,1,1,0.0031,0.0016679687226656,0.0045320312773344,0.0288,0.0255220173384229,0.0320779826615771,0.0758,0.0714460495005226,0.0801539504994775,758,288,31
"SmoothFixed_4_asymp","Exp",1539152,10000,10,10,0,0.5,1,0.0021,0.000920768647472431,0.00327923135252757,0.0276,0.0243890533672451,0.0308109466327549,0.0712,0.0669697405679557,0.0754302594320443,712,276,21
"SmoothFixed_4_asymp","Exp",123327039,10000,10,10,0,0.25,1,0.0024,0.00113953816677219,0.0036604618332278,0.0309,0.0275082830026077,0.0342917169973923,0.0755,0.0711539688393461,0.0798460311606539,755,309,24
"SmoothFixed_4_asymp","Exp",35053,10000,10,10,0,0.125,1,0.0014,0.000436823989135942,0.00236317601086406,0.0272,0.0240117504699914,0.0303882495300086,0.0738,0.0694992274856835,0.0781007725143165,738,272,14
"SmoothFixed_4_asymp","Exp",37277687,10000,10,10,0.5,1,0,0.0188,0.015301325391944,0.022298674608056,0.1617,0.154483762563662,0.168916237436338,0.3226,0.314910100217357,0.330289899782643,3226,1617,188
"SmoothFixed_4_asymp","Exp",102578349,10000,10,10,0.5,0.5,0,0.0053,0.00342961998908885,0.00717038001091115,0.057,0.0524558846669566,0.0615441153330434,0.1341,0.128494502528145,0.139705497471855,1341,570,53
"SmoothFixed_4_asymp","Exp",3273642,10000,10,10,0.5,0.25,0,0.0023,0.00106601533457826,0.00353398466542174,0.0339,0.0303529528497072,0.0374470471502928,0.0909,0.0861711703131774,0.0956288296868226,909,339,23
"SmoothFixed_4_asymp","Exp",401883,10000,10,10,0.5,0.125,0,0.0017,0.000638791170063121,0.00276120882993688,0.0311,0.0276976754113695,0.0345023245886305,0.0799,0.0754397745926943,0.0843602254073057,799,311,17
"SmoothFixed_4_asymp","Exp",370186,10000,10,10,1,1,0,0.1674,0.157782951886685,0.177017048113315,0.5607,0.550972484062126,0.570427515937874,0.7531,0.746006627432245,0.760193372567755,7531,5607,1674
"SmoothFixed_4_asymp","Exp",38475331,10000,10,10,1,0.5,0,0.0213,0.0175807064704899,0.0250192935295101,0.1685,0.161163529919641,0.175836470080359,0.3282,0.320475770118135,0.335924229881865,3282,1685,213
"SmoothFixed_4_asymp","Exp",94441619,10000,10,10,1,0.25,0,0.0055,0.00359484814841441,0.00740515185158559,0.0565,0.0519746596547884,0.0610253403452116,0.1395,0.133800609115934,0.145199390884066,1395,565,55
"SmoothFixed_4_asymp","Exp",24995,10000,10,10,1,0.125,0,0.0029,0.00151479447287271,0.00428520552712729,0.0375,0.0337763223823752,0.0412236776176248,0.0935,0.0887108811828923,0.0982891188171077,935,375,29
"SmoothFixed_4_asymp","Exp",469742,10000,10,10,1.5,1,0,0.4547,0.441872970763157,0.467527029236843,0.8448,0.837702933372611,0.851897066627389,0.9425,0.938670513841992,0.946329486158008,9425,8448,4547
"SmoothFixed_4_asymp","Exp",88180,10000,10,10,1.5,0.5,0,0.0715,0.0648627246693843,0.0781372753306157,0.3644,0.354967274424515,0.373832725575485,0.5622,0.554038890564151,0.570361109435849,5622,3644,715
"SmoothFixed_4_asymp","Exp",57979,10000,10,10,1.5,0.25,0,0.0109,0.00822527455888572,0.0135747254411143,0.1055,0.0994789466735462,0.111521053326454,0.2201,0.213284536697041,0.226915463302959,2201,1055,109
