"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"WMW_Asymp","ghEqual",608540,10000,10,10,2,3,1,3,0,0,0.2424,0.231360938587098,0.253439061412902,0.5225,0.512709927528358,0.532290072471642,0.6463,0.638434967706565,0.654165032293435,6463,5225,2424
"WMW_Asymp","ghEqual",20720778,10000,10,10,2,3,-1,1,0,0,0.3536,0.341284482640088,0.365915517359912,0.6625,0.653232002643505,0.671767997356495,0.7798,0.772983425665637,0.786616574334363,7798,6625,3536
"WMW_Asymp","ghEqual",123005,10000,10,10,2,3,-3,3,0,0,0.9967,0.995222644348867,0.998177355651134,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9967
"WMW_Asymp","ghEqual",8588668,10000,10,10,2,3,-1,3,0,0,0.571,0.558250517448994,0.583749482551006,0.8276,0.820196536440395,0.835003463559605,0.8986,0.893634441681029,0.903565558318971,8986,8276,5710
"WMW_Asymp","ghEqual",4081584,10000,10,10,2,3,1,-3,0,0,0.0124,0.00954932805320851,0.0152506719467915,0.0602,0.0555380024888895,0.0648619975111104,0.1112,0.106028454870892,0.116371545129108,1112,602,124
"WMW_Asymp","ghEqual",88435,10000,10,10,2.5,3,1,1,0,0,0.2163,0.205694063030762,0.226905936969238,0.4782,0.468409319134932,0.487990680865068,0.6165,0.608501378855117,0.624498621144883,6165,4782,2163
"WMW_Asymp","ghEqual",16716469,10000,10,10,2.5,3,3,3,0,0,0.2424,0.231360938587098,0.253439061412902,0.5128,0.503003211790306,0.522596788209694,0.6412,0.633309784293671,0.649090215706329,6412,5128,2424
"WMW_Asymp","ghEqual",245027048,10000,10,10,2.5,3,1,3,0,0,0.3367,0.324526305033625,0.348873694966375,0.6194,0.609883526034166,0.628916473965834,0.7402,0.732986267794276,0.747413732205724,7402,6194,3367
"WMW_Asymp","ghEqual",25225,10000,10,10,2.5,3,-1,1,0,0,0.5513,0.538487971688064,0.564112028311936,0.8237,0.816230926029982,0.831169073970018,0.9014,0.896495856872083,0.906304143127917,9014,8237,5513
"WMW_Asymp","ghEqual",76258672,10000,10,10,2.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"WMW_Asymp","ghEqual",304596991,10000,10,10,2.5,3,-1,3,0,0,0.8363,0.826768719587366,0.845831280412634,0.9631,0.959405080798935,0.966794919201065,0.9855,0.983533571238419,0.987466428761582,9855,9631,8363
"WMW_Asymp","ghEqual",84712586,10000,10,10,2.5,3,1,-3,0,0,0.0237,0.0197815737575072,0.0276184262424928,0.0864,0.0808933054409746,0.0919066945590254,0.1448,0.139011260192546,0.150588739807454,1448,864,237
"WMW_Asymp","ghEqual",806418,10000,20,20,0,3,1,1,0,1,0.0092,0.00674057959837363,0.0116594204016264,0.0499,0.0456323282977249,0.0541676717022751,0.0949,0.090078887220882,0.099721112779118,949,499,92
"WMW_Asymp","ghEqual",262419319,10000,20,20,0,3,3,3,0,1,0.0099,0.00734963120325236,0.0124503687967476,0.0491,0.0448648944251176,0.0533351055748824,0.0982,0.0933047287462389,0.103095271253761,982,491,99
"WMW_Asymp","ghEqual",335274,10000,20,20,0,3,-3,-3,0,1,0.008,0.00570519024021598,0.010294809759784,0.0457,0.041606859679708,0.049793140320292,0.097,0.0921314947286154,0.101868505271385,970,457,80
"WMW_Asymp","ghEqual",15088496,10000,20,20,0,3,-1,-1,0,1,0.0102,0.00761166986137858,0.0127883301386214,0.0508,0.0464960542129808,0.0551039457870192,0.0971,0.0922292555565935,0.101970744443406,971,508,102
"WMW_Asymp","ghEqual",1411157,10000,20,20,0.5,3,1,1,0,0,0.027,0.0228247338851757,0.0311752661148243,0.111,0.104843010099083,0.117156989900917,0.1842,0.17782320338321,0.19057679661679,1842,1110,270
"WMW_Asymp","ghEqual",5833380,10000,20,20,0.5,3,3,3,0,0,0.0807,0.0736836498208986,0.0877163501791014,0.2374,0.229060407518446,0.245739592481554,0.3474,0.339567428932522,0.355232571067478,3474,2374,807
"WMW_Asymp","ghEqual",31519951,10000,20,20,0.5,3,1,3,0,0,0.125,0.116480680778372,0.133519319221628,0.3229,0.31373533698086,0.33206466301914,0.4388,0.430636844998875,0.446963155001125,4388,3229,1250
"WMW_Asymp","ghEqual",4280949,10000,20,20,0.5,3,-1,1,0,0,0.1495,0.140314482815562,0.158685517184438,0.3667,0.357254688823676,0.376145311176324,0.494,0.485775592221321,0.502224407778679,4940,3667,1495
"WMW_Asymp","ghEqual",48307668,10000,20,20,0.5,3,-3,3,0,0,0.4357,0.422926948483288,0.448473051516712,0.6998,0.690816441827783,0.708783558172217,0.7967,0.790079633991328,0.803320366008672,7967,6998,4357
"WMW_Asymp","ghEqual",65565,10000,20,20,0.5,3,-1,3,0,0,0.3007,0.288887431584326,0.312512568415674,0.5679,0.558190784537647,0.577609215462353,0.6798,0.672125198598276,0.687474801401724,6798,5679,3007
"WMW_Asymp","ghEqual",30342732,10000,20,20,0.5,3,1,-3,0,0,0.056,0.0500772163431035,0.0619227836568965,0.1845,0.176897328261723,0.192102671738277,0.2859,0.278467199153954,0.293332800846046,2859,1845,560
"WMW_Asymp","ghEqual",3257675,10000,20,20,1,3,1,1,0,0,0.0946,0.0870610359567654,0.102138964043235,0.2648,0.256151957586043,0.273448042413957,0.3785,0.370521533778703,0.386478466221297,3785,2648,946
"WMW_Asymp","ghEqual",53546,10000,20,20,1,3,3,3,0,0,0.2021,0.191755649010267,0.212444350989733,0.4404,0.430669871418404,0.450130128581596,0.5614,0.553237251418848,0.569562748581152,5614,4404,2021
"WMW_Asymp","ghEqual",24826,10000,20,20,1,3,1,3,0,0,0.2705,0.259056940884816,0.281943059115184,0.516,0.506205018885164,0.525794981114836,0.6357,0.627783711856572,0.643616288143428,6357,5160,2705
"WMW_Asymp","ghEqual",81555142,10000,20,20,1,3,-1,1,0,0,0.3166,0.304617738284425,0.328582261715575,0.5981,0.58849047378991,0.60770952621009,0.7127,0.705256330285217,0.720143669714783,7127,5981,3166
"WMW_Asymp","ghEqual",224229,10000,20,20,1,3,-3,3,0,0,0.7271,0.715625211252891,0.738574788747109,0.8988,0.892888769974904,0.904711230025096,0.942,0.938154920262205,0.945845079737795,9420,8988,7271
"WMW_Asymp","ghEqual",16931,10000,20,20,1,3,-1,3,0,0,0.5417,0.528864871969975,0.554535128030025,0.7873,0.779279343042269,0.795320656957731,0.8665,0.86090511945218,0.87209488054782,8665,7873,5417
"WMW_Asymp","ghEqual",113865,10000,20,20,1,3,1,-3,0,0,0.0184,0.0149380400048897,0.0218619599951103,0.0919,0.0862378591979358,0.0975621408020642,0.16,0.153969330385438,0.166030669614562,1600,919,184
"WMW_Asymp","ghEqual",14673851,10000,20,20,1.5,3,1,1,0,0,0.2275,0.216700943752346,0.238299056247654,0.4687,0.458919220772883,0.478480779227117,0.5913,0.58321328456994,0.59938671543006,5913,4687,2275
"WMW_Asymp","ghEqual",138473,10000,20,20,1.5,3,3,3,0,0,0.3489,0.336622210277778,0.361177789722222,0.5994,0.589795607208032,0.609004392791968,0.7107,0.703240954148165,0.718159045851835,7107,5994,3489
"WMW_Asymp","ghEqual",48576708,10000,20,20,1.5,3,1,3,0,0,0.4476,0.434790926061224,0.460409073938776,0.7064,0.697473947389445,0.715326052610555,0.8006,0.794027414079443,0.807172585920557,8006,7064,4476
"WMW_Asymp","ghEqual",3118464,10000,20,20,1.5,3,-1,1,0,0,0.5641,0.551326281445039,0.576873718554961,0.8058,0.798046562049155,0.813553437950845,0.8797,0.874348617280013,0.885051382719987,8797,8058,5641
"WMW_Asymp","ghEqual",3093253,10000,20,20,1.5,3,-3,3,0,0,0.9796,0.975958457938457,0.983241542061543,0.9962,0.994994072668193,0.997405927331807,0.9991,0.998606722124989,0.999593277875011,9991,9962,9796
"WMW_Asymp","ghEqual",28015928,10000,20,20,1.5,3,-1,3,0,0,0.7835,0.772890514845743,0.794109485154257,0.9269,0.921798108705352,0.932001891294647,0.9604,0.957191961505281,0.963608038494719,9604,9269,7835
"WMW_Asymp","ghEqual",417077,10000,20,20,1.5,3,1,-3,0,0,0.0118,0.00901830642683706,0.0145816935731629,0.0635,0.058720341974576,0.068279658025424,0.1177,0.112398945449934,0.123001054550066,1177,635,118
"WMW_Asymp","ghEqual",415777,10000,20,20,2,3,1,1,0,0,0.3984,0.385788712182757,0.411011287817243,0.6564,0.647091773659477,0.665708226340523,0.7634,0.756408838249969,0.770391161750031,7634,6564,3984
