"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","ghEqual",349625,10000,10,10,2,3,-1,1,0,0,0.3366,0.324427195472935,0.348772804527065,0.6765,0.667330891447911,0.685669108552089,0.7873,0.78056837719619,0.79403162280381,7873,6765,3366
"HFR","ghEqual",2805904,10000,10,10,2,3,-3,3,0,0,0.9958,0.994134070706442,0.997465929293558,0.9997,0.99936056896783,1.00003943103217,0.9998,0.999567385133966,1.00003261486603,9998,9997,9958
"HFR","ghEqual",44792,10000,10,10,2,3,-1,3,0,0,0.5634,0.550623963446274,0.576176036553726,0.8541,0.847181083678032,0.861018916321968,0.9186,0.914101773442889,0.923098226557111,9186,8541,5634
"HFR","ghEqual",186659,10000,10,10,2,3,1,-3,0,0,0.0113,0.00857718993386318,0.0140228100661368,0.0615,0.056791194329769,0.066208805670231,0.1217,0.116321853442981,0.127078146557019,1217,615,113
"HFR","ghEqual",426746,10000,10,10,2.5,3,1,1,0,0,0.2862,0.274556891483377,0.297843108516623,0.5831,0.573436297766259,0.59276370223374,0.6947,0.687124209541191,0.702275790458809,6947,5831,2862
"HFR","ghEqual",136003853,10000,10,10,2.5,3,3,3,0,0,0.4871,0.474224287435191,0.499975712564809,0.7294,0.720692312255116,0.738107687744884,0.7875,0.780770688214284,0.794229311785716,7875,7294,4871
"HFR","ghEqual",272905,10000,10,10,2.5,3,1,3,0,0,0.4685,0.455645585772724,0.481354414227276,0.7134,0.704537408808345,0.722262591191655,0.803,0.796457303302345,0.809542696697655,8030,7134,4685
"HFR","ghEqual",220313,10000,10,10,2.5,3,-1,1,0,0,0.5451,0.53227250310755,0.55792749689245,0.8444,0.837295476093192,0.851504523906808,0.9089,0.904166491705302,0.913633508294698,9089,8444,5451
"HFR","ghEqual",45846263,10000,10,10,2.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","ghEqual",5467608,10000,10,10,2.5,3,-1,3,0,0,0.8386,0.829122908953529,0.848077091046471,0.9728,0.969611750469991,0.975988249530009,0.9875,0.98567236502294,0.989327634977061,9875,9728,8386
"HFR","ghEqual",32487,10000,10,10,2.5,3,1,-3,0,0,0.0157,0.0124977190820642,0.0189022809179358,0.0701,0.0650958167581113,0.0751041832418887,0.1355,0.12986987485047,0.14113012514953,1355,701,157
"HFR","ghEqual",50893449,10000,20,20,0,3,1,1,0,1,0.0088,0.00639415390545114,0.0112058460945489,0.0529,0.0485128566453329,0.0572871433546671,0.1008,0.0958475019016258,0.105752498098374,1008,529,88
"HFR","ghEqual",332545,10000,20,20,0,3,3,3,0,1,0.0112,0.00848912745672984,0.0139108725432702,0.0557,0.0512049071820929,0.0601950928179071,0.0999,0.0949671940952461,0.104832805904754,999,557,112
"HFR","ghEqual",142952143,10000,20,20,0,3,-3,-3,0,1,0.0087,0.00630774187608109,0.0110922581239189,0.0489,0.0446730842489588,0.0531269157510412,0.1017,0.0967279317825702,0.10667206821743,1017,489,87
"HFR","ghEqual",3874798,10000,20,20,0,3,-1,-1,0,1,0.0092,0.00674057959837363,0.0116594204016264,0.0503,0.0460161595938224,0.0545838404061776,0.1049,0.0998593165509055,0.109940683449094,1049,503,92
"HFR","ghEqual",63683539,10000,20,20,0.5,3,1,1,0,0,0.0419,0.0367387096603985,0.0470612903396015,0.1529,0.145846134817393,0.159953865182607,0.2362,0.229212920641649,0.243187079358351,2362,1529,419
"HFR","ghEqual",10731371,10000,20,20,0.5,3,3,3,0,0,0.2443,0.233231664795292,0.255368335204708,0.4775,0.467709927528358,0.487290072471642,0.5947,0.586623872374351,0.602776127625649,5947,4775,2443
"HFR","ghEqual",21963588,10000,20,20,0.5,3,1,3,0,0,0.2925,0.280781500225711,0.304218499774288,0.5341,0.524322817639504,0.543877182360496,0.6543,0.64647644658197,0.66212355341803,6543,5341,2925
"HFR","ghEqual",21629,10000,20,20,0.5,3,-1,1,0,0,0.1499,0.140704365876557,0.159095634123443,0.3591,0.349697162954172,0.368502837045828,0.4908,0.482576392445867,0.499023607554133,4908,3591,1499
"HFR","ghEqual",19684,10000,20,20,0.5,3,-3,3,0,0,0.4389,0.426116529208861,0.451683470791139,0.6964,0.687387685553289,0.705412314446711,0.7953,0.788662717314987,0.801937282685013,7953,6964,4389
"HFR","ghEqual",208804795,10000,20,20,0.5,3,-1,3,0,0,0.2951,0.283351180850578,0.306848819149422,0.5642,0.55448111988048,0.57391888011952,0.6888,0.681183906524838,0.696416093475162,6888,5642,2951
"HFR","ghEqual",45650,10000,20,20,0.5,3,1,-3,0,0,0.0553,0.0494121683739074,0.0611878316260926,0.1849,0.177290958136638,0.192509041863362,0.2896,0.282138662972791,0.297061337027209,2896,1849,553
"HFR","ghEqual",3170592,10000,20,20,1,3,1,1,0,0,0.1716,0.161887645056582,0.181312354943418,0.3948,0.385219369231956,0.404380630768044,0.5173,0.509079924794883,0.525520075205117,5173,3948,1716
"HFR","ghEqual",131171,10000,20,20,1,3,3,3,0,0,0.5146,0.501725492172561,0.527474507827439,0.7528,0.744344873496771,0.761255126503229,0.8347,0.828589629619591,0.840810370380409,8347,7528,5146
"HFR","ghEqual",84419,10000,20,20,1,3,1,3,0,0,0.5247,0.511835725518242,0.537564274481758,0.7445,0.735951618915841,0.753048381084159,0.8298,0.823617951677971,0.835982048322029,8298,7445,5247
"HFR","ghEqual",17874,10000,20,20,1,3,-1,1,0,0,0.3297,0.317590117146611,0.341809882853389,0.5905,0.580861865659787,0.600138134340213,0.7176,0.71019475445582,0.72500524554418,7176,5905,3297
"HFR","ghEqual",1574184,10000,20,20,1,3,-3,3,0,0,0.7183,0.706712434144069,0.729887565855931,0.8998,0.893914776959741,0.905685223040259,0.9458,0.942075523825838,0.949524476174162,9458,8998,7183
"HFR","ghEqual",22700,10000,20,20,1,3,-1,3,0,0,0.5368,0.523954932593755,0.549645067406245,0.7747,0.766511517123081,0.782888482876919,0.8602,0.854495478686524,0.865904521313476,8602,7747,5368
"HFR","ghEqual",295262,10000,20,20,1,3,1,-3,0,0,0.0208,0.0171236806630631,0.0244763193369369,0.0927,0.0870157732527986,0.0983842267472014,0.171,0.164806427541596,0.177193572458404,1710,927,208
"HFR","ghEqual",25208,10000,20,20,1.5,3,1,1,0,0,0.3741,0.361635002705891,0.386564997294109,0.6318,0.622346605665604,0.641253394334397,0.7376,0.730363005015229,0.744836994984771,7376,6318,3741
"HFR","ghEqual",90221,10000,20,20,1.5,3,3,3,0,0,0.7004,0.688599787399729,0.712200212600271,0.8648,0.85809803342342,0.87150196657658,0.9233,0.918922410822293,0.927677589177707,9233,8648,7004
"HFR","ghEqual",799082,10000,20,20,1.5,3,1,3,0,0,0.6934,0.681522532449055,0.705277467550945,0.856,0.849118641250451,0.862881358749549,0.91,0.905292310041007,0.914707689958993,9100,8560,6934
"HFR","ghEqual",6676612,10000,20,20,1.5,3,-1,1,0,0,0.5619,0.549119083388424,0.574680916611576,0.8055,0.797742020162439,0.813257979837561,0.8869,0.881690038281813,0.892109961718187,8869,8055,5619
"HFR","ghEqual",1543542,10000,20,20,1.5,3,-3,3,0,0,0.9782,0.974438267279381,0.981961732720619,0.996,0.994762868867096,0.997237131132904,0.9985,0.99786337224819,0.99913662775181,9985,9960,9782
"HFR","ghEqual",283708,10000,20,20,1.5,3,-1,3,0,0,0.7928,0.782359469775475,0.803240530224525,0.9329,0.927996175964168,0.937803824035832,0.9645,0.961456094293613,0.967543905706387,9645,9329,7928
"HFR","ghEqual",239853,10000,20,20,1.5,3,1,-3,0,0,0.0127,0.00981548841415119,0.0155845115858488,0.0644,0.0595889030167331,0.0692110969832669,0.1263,0.120835521199897,0.131764478800103,1263,644,127
"HFR","ghEqual",71520842,10000,20,20,2,3,1,1,0,0,0.578,0.565277689129659,0.590722310870341,0.7948,0.786884585196365,0.802715414803635,0.8645,0.85886987485047,0.87013012514953,8645,7948,5780
