"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarEqual","Normal2Var",356659,1000,20,20,2.5,1,5,0,0.33,0.291696343861193,0.368303656138807,0.588,0.557493432680814,0.618506567319186,0.712,0.688443967600634,0.735556032399366
"Bayes_TTest_VarEqual","Normal2Var",9569194,1000,100,100,0,1,2,1,0.007,0.000208440607931048,0.013791559392069,0.047,0.0338824885896753,0.0601175114103247,0.098,0.0825338503207812,0.113466149679219
"Bayes_TTest_VarEqual","Normal2Var",68679646,1000,100,100,0,3,5,1,0.016,0.00577876439250127,0.0262212356074987,0.065,0.0497201688491005,0.0802798311508995,0.114,0.0974676272392618,0.130532372760738
"Bayes_TTest_VarEqual","Normal2Var",230774295,1000,100,100,0,1,5,1,0.017,0.00646954641356793,0.0275304535864321,0.056,0.0417493037924458,0.0702506962075542,0.112,0.0955948050179219,0.128405194982078
"Bayes_TTest_VarEqual","Normal2Var",16422334,1000,100,100,0.5,1,2,0,0.373,0.333605640392361,0.412394359607639,0.602,0.571661377855941,0.632338622144059,0.72,0.696643317016323,0.743356682983677
"Bayes_TTest_VarEqual","Normal2Var",401833,1000,100,100,1.5,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal2Var",24734,1000,100,100,2,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal2Var",2196678,1000,100,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal2Var",5735380,1000,100,100,0.5,3,5,0,0.043,0.0264752059566238,0.0595247940433761,0.138,0.116622877424686,0.159377122575314,0.243,0.22068910569307,0.26531089430693
"Bayes_TTest_VarEqual","Normal2Var",659825,1000,100,100,1.5,3,5,0,0.489,0.448279721622955,0.529720278377044,0.739,0.7117793466941,0.7662206533059,0.819,0.79897155922257,0.839028440777429
"Bayes_TTest_VarEqual","Normal2Var",6504989,1000,100,100,2,3,5,0,0.798,0.765294334617746,0.830705665382255,0.933,0.91750347595104,0.94849652404896,0.97,0.961126143594806,0.978873856405194
"Bayes_TTest_VarEqual","Normal2Var",746271,1000,100,100,2.5,3,5,0,0.946,0.927588536690855,0.964411463309145,0.987,0.979979204489518,0.994020795510482,0.992,0.987365885802011,0.996634114197989
"Bayes_TTest_VarEqual","Normal2Var",58074929,1000,100,100,0.5,1,5,0,0.064,0.0440623590787676,0.0839376409212324,0.174,0.150502550810779,0.19749744918922,0.259,0.23621101994439,0.28178898005561
"Bayes_TTest_VarEqual","Normal2Var",5478481,1000,100,100,1.5,1,5,0,0.6,0.560092779600679,0.639907220399321,0.802,0.777301200158712,0.826698799841288,0.882,0.8652180973099,0.8987819026901
"Bayes_TTest_VarEqual","Normal2Var",27661804,1000,100,100,2,1,5,0,0.908,0.884455867313999,0.931544132686001,0.977,0.967708897073006,0.986291102926994,0.986,0.979888210646627,0.992111789353373
"Bayes_TTest_VarEqual","Normal2Var",10542812,1000,100,100,2.5,1,5,0,0.987,0.977772668757653,0.996227331242347,0.998,0.995230914663648,1.00076908533635,0.999,0.997355822705728,1.00064417729427
"Bayes_TTest_VarEqual","Normal2Var",8583303,1000,10,100,0,1,2,1,0,0,0,0.001,-0.000959019754877423,0.00295901975487742,0.004,0.000716586593192993,0.00728341340680701
"Bayes_TTest_VarEqual","Normal2Var",42082,1000,10,100,0,3,5,1,0,0,0,0.002,-0.00076908533635206,0.00476908533635206,0.018,0.0110839535932731,0.0249160464067269
"Bayes_TTest_VarEqual","Normal2Var",226441052,1000,10,100,0,1,5,1,0,0,0,0,0,0,0,0,0
"Bayes_TTest_VarEqual","Normal2Var",5810901,1000,10,100,0.5,1,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.02,0.011322710100498,0.028677289899502,0.062,0.0494552166260234,0.0745447833739766
"Bayes_TTest_VarEqual","Normal2Var",305712585,1000,10,100,1.5,1,2,0,0.329,0.290725892904158,0.367274107095842,0.742,0.714881361804102,0.769118638195898,0.884,0.867342070128614,0.900657929871386
"Bayes_TTest_VarEqual","Normal2Var",77789688,1000,10,100,2,1,2,0,0.763,0.728359647665533,0.797640352334467,0.964,0.952453620203717,0.975546379796282,0.996,0.992716586593193,0.999283413406807
"Bayes_TTest_VarEqual","Normal2Var",6058364,1000,10,100,2.5,1,2,0,0.973,0.959796649239833,0.986203350760167,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal2Var",2664758,1000,10,100,0.5,3,5,0,0.001,-0.0015747116778389,0.0035747116778389,0.008,0.00247850223218373,0.0135214977678163,0.02,0.0127172745486322,0.0272827254513678
"Bayes_TTest_VarEqual","Normal2Var",16697,1000,10,100,1.5,3,5,0,0.006,-0.000290927440687899,0.0122909274406879,0.056,0.0417493037924458,0.0702506962075542,0.14,0.121949919390762,0.158050080609238
"Bayes_TTest_VarEqual","Normal2Var",68660670,1000,10,100,2,3,5,0,0.013,0.00377266875765262,0.0222273312423474,0.137,0.115688120458298,0.158311879541702,0.273,0.249825283437008,0.296174716562992
"Bayes_TTest_VarEqual","Normal2Var",17389001,1000,10,100,2.5,3,5,0,0.065,0.0449179362016749,0.0850820637983251,0.25,0.223161594682247,0.276838405317753,0.422,0.396308701981021,0.447691298018979
"Bayes_TTest_VarEqual","Normal2Var",13344379,1000,10,100,0.5,1,5,0,0,0,0,0.001,-0.000959019754877423,0.00295901975487742,0.001,-0.000644177294272123,0.00264417729427212
"Bayes_TTest_VarEqual","Normal2Var",9905695,1000,10,100,1.5,1,5,0,0,0,0,0.005,0.00062827722745369,0.00937172277254631,0.037,0.0271807140394528,0.0468192859605472
"Bayes_TTest_VarEqual","Normal2Var",110655639,1000,10,100,2,1,5,0,0,0,0,0.037,0.0253004252384969,0.0486995747615031,0.161,0.141881235631584,0.180118764368416
"Bayes_TTest_VarEqual","Normal2Var",3031494,1000,10,100,2.5,1,5,0,0.007,0.000208440607931048,0.013791559392069,0.136,0.114753744649939,0.157246255350061,0.412,0.386396273857112,0.437603726142888
