"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuen","Cauchy",22421,1000,20,20,0,2,2,1,0.005,-0.000745692786775151,0.0107456927867752,0.033,0.0219279948699434,0.0440720051300566,0.083,0.0686487537553354,0.0973512462446646
"Yuen","Cauchy",51127296,1000,20,20,0,0.5,2,1,0.005,-0.000745692786775151,0.0107456927867752,0.035,0.0236092124943005,0.0463907875056995,0.084,0.0695704335616069,0.0984295664383931
"Yuen","Cauchy",564209,1000,20,20,0,1,2,1,0.008,0.000743174362298623,0.0152568256377014,0.046,0.0330159800369839,0.0589840199630161,0.084,0.0695704335616069,0.0984295664383931
"Yuen","Cauchy",621054,1000,20,20,0.5,1,1,0,0.023,0.0107888361530934,0.0352111638469066,0.115,0.0952268151275522,0.134773184872448,0.21,0.188812042394322,0.231187957605678
"Yuen","Cauchy",31722,1000,20,20,0.5,0.5,0.5,0,0.175,0.144047776170362,0.205952223829638,0.394,0.363714099280358,0.424285900719642,0.513,0.486999059021355,0.539000940978645
"Yuen","Cauchy",6381272,1000,20,20,0.5,2,2,0,0.012,0.00313017698846251,0.0208698230115375,0.061,0.0461661533512039,0.0758338466487961,0.127,0.10967892330786,0.14432107669214
"Yuen","Cauchy",1735181,1000,20,20,0.5,0.5,2,0,0.022,0.0100511357687854,0.0339488642312146,0.081,0.0640895043715449,0.0979104956284551,0.159,0.139977724716139,0.178022275283861
"Yuen","Cauchy",13598207,1000,20,20,0.5,1,2,0,0.016,0.00577876439250127,0.0262212356074987,0.077,0.0604764908811718,0.0935235091188282,0.135,0.117223721723178,0.152776278276822
"Yuen","Cauchy",219197,1000,20,20,1,1,1,0,0.162,0.131985896537528,0.192014103462472,0.386,0.355825928905764,0.416174071094236,0.52,0.494011082361899,0.545988917638101
"Yuen","Cauchy",97028,1000,20,20,1,0.5,0.5,0,0.696,0.658529691365242,0.733470308634758,0.858,0.836365648204765,0.879634351795235,0.912,0.89726315018737,0.92673684981263
"Yuen","Cauchy",48394475,1000,20,20,1,2,2,0,0.046,0.0289352880486074,0.0630647119513926,0.142,0.120365648204765,0.163634351795235,0.228,0.206175616929682,0.249824383070318
"Yuen","Cauchy",42094545,1000,20,20,1,0.5,2,0,0.068,0.0474927100821196,0.0885072899178804,0.21,0.184754773916639,0.235245226083361,0.324,0.299654889205428,0.348345110794572
"Yuen","Cauchy",113977440,1000,20,20,1,1,2,0,0.049,0.0314153326496064,0.0665846673503936,0.175,0.151449394912232,0.198550605087768,0.289,0.265419683823685,0.312580316176315
"Yuen","Cauchy",67498,1000,20,20,1.5,1,1,0,0.433,0.392637195321237,0.473362804678763,0.681,0.652111501555117,0.709888498444883,0.792,0.770886503501315,0.813113496498685
"Yuen","Cauchy",31539,1000,20,20,1.5,0.5,0.5,0,0.934,0.913774872664332,0.954225127335668,0.979,0.970112961438139,0.987887038561861,0.985,0.978676905870146,0.991323094129854
"Yuen","Cauchy",116277578,1000,20,20,1.5,2,2,0,0.074,0.0526760717825256,0.0953239282174744,0.228,0.201996479746004,0.254003520253996,0.359,0.334045886772418,0.383954113227582
"Yuen","Cauchy",998816,1000,20,20,1.5,0.5,2,0,0.201,0.168354954589953,0.233645045410047,0.403,0.372598447644898,0.433401552355102,0.543,0.517086628745472,0.568913371254528
"Yuen","Cauchy",18098,1000,20,20,1.5,1,2,0,0.175,0.144047776170362,0.205952223829638,0.376,0.345977815562488,0.406022184437512,0.489,0.462996561362485,0.515003438637515
"Yuen","Cauchy",764853,1000,20,20,2,1,1,0,0.693,0.655426498968342,0.730573501031658,0.88,0.859858675316653,0.900141324683347,0.933,0.919993988744623,0.946006011255377
"Yuen","Cauchy",47322768,1000,20,20,2,0.5,0.5,0,0.99,0.981894805221341,0.998105194778659,0.996,0.992087847855719,0.999912152144281,0.998,0.995675946235562,1.00032405376444
"Yuen","Cauchy",86195851,1000,20,20,2,2,2,0,0.15,0.120912864699321,0.179087135300679,0.38,0.349915436516379,0.410084563483621,0.526,0.500025455208994,0.551974544791006
"Yuen","Cauchy",106847439,1000,20,20,2,0.5,2,0,0.354,0.315044951562294,0.392955048437706,0.604,0.573687473638774,0.634312526361226,0.721,0.69766887737431,0.74433112262569
"Yuen","Cauchy",1840581,1000,20,20,2,1,2,0,0.297,0.259777825066017,0.334222174933983,0.569,0.538306187229345,0.599693812770655,0.683,0.65879495550975,0.70720504449025
"Yuen","Cauchy",132544917,1000,20,20,2.5,1,1,0,0.868,0.840426449793761,0.895573550206239,0.951,0.937620361798614,0.964379638201386,0.978,0.970369611156697,0.985630388843303
"Yuen","Cauchy",250347752,1000,20,20,2.5,0.5,0.5,0,0.998,0.994360630700794,1.00163936929921,0.999,0.997040980245123,1.00095901975488,1,1,1
"Yuen","Cauchy",250878,1000,20,20,2.5,2,2,0,0.325,0.28684605708449,0.36315394291551,0.555,0.524197740991934,0.585802259008066,0.663,0.638411184010307,0.687588815989693
