"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_6_asymp","Normal2Var",9184593,10000,10,10,0.5,1,3,0,6e-04,-3.07992327706179e-05,0.00123079923277062,0.0156,0.0131711305464476,0.0180288694535524,0.0456,0.042168266620846,0.049031733379154,456,156,6
"SmoothFixed_6_asymp","Normal2Var",63594699,10000,10,10,1.5,1,3,0,0.0012,0.00030818299620606,0.00209181700379394,0.0175,0.0149299511677791,0.0200700488322209,0.0433,0.0399519052688469,0.0466480947311531,433,175,12
"SmoothFixed_6_asymp","Normal2Var",37676,10000,10,10,2,1,3,0,8e-04,7.16886721078684e-05,0.00152831132789213,0.0142,0.011881032562195,0.016518967437805,0.0395,0.0362958478189426,0.0427041521810574,395,142,8
"SmoothFixed_6_asymp","Normal2Var",1948964,10000,10,10,2.5,1,3,0,8e-04,7.16886721078684e-05,0.00152831132789213,0.0097,0.00777900900949536,0.0116209909905046,0.027,0.024333729519066,0.029666270480934,270,97,8
"SmoothFixed_6_asymp","Normal2Var",332360172,10000,10,10,0.5,3,5,0,0.003,0.00159118468151429,0.00440881531848571,0.0279,0.0246721477706686,0.0311278522293314,0.0673,0.063178603264332,0.071421396735668,673,279,30
"SmoothFixed_6_asymp","Normal2Var",160588,10000,10,10,1.5,3,5,0,0.0038,0.00221506693533891,0.00538493306466109,0.0284,0.0251441904370188,0.0316558095629812,0.0696,0.0654139407321921,0.0737860592678078,696,284,38
"SmoothFixed_6_asymp","Normal2Var",32474,10000,10,10,2,3,5,0,0.0029,0.00151479447287271,0.00428520552712729,0.0287,0.025427544767365,0.031972455232635,0.0663,0.0622071451226833,0.0703928548773167,663,287,29
"SmoothFixed_6_asymp","Normal2Var",2381524,10000,10,10,2.5,3,5,0,0.0024,0.00113953816677219,0.0036604618332278,0.0256,0.022504401043029,0.028695598956971,0.0625,0.0585180889971805,0.0664819110028195,625,256,24
"SmoothFixed_6_asymp","Normal2Var",297988,10000,10,10,0.5,1,5,0,3e-04,-0.000146109356566302,0.000746109356566302,0.0089,0.00705918640639526,0.0107408135936047,0.024,0.0214823437565863,0.0265176562434137,240,89,3
"SmoothFixed_6_asymp","Normal2Var",114104464,10000,10,10,1.5,1,5,0,2e-04,-0.000164264981704253,0.000564264981704253,0.0083,0.00652178088594234,0.0100782191140577,0.0248,0.0222417758819056,0.0273582241180944,248,83,2
"SmoothFixed_6_asymp","Normal2Var",479757,10000,10,10,2,1,5,0,3e-04,-0.000146109356566302,0.000746109356566302,0.0092,0.00732870186832776,0.0110712981316722,0.0264,0.0237627084193059,0.0290372915806941,264,92,3
"SmoothFixed_6_asymp","Normal2Var",12978546,10000,10,10,2.5,1,5,0,2e-04,-0.000164264981704253,0.000564264981704253,0.007,0.00536589591518778,0.00863410408481223,0.0207,0.0183578810267676,0.0230421189732324,207,70,2
"SmoothFixed_6_asymp","Normal2Var",2976576,10000,10,10,1,1,3,0,0.0013,0.000371813901280567,0.00222818609871943,0.0152,0.0128019850555929,0.0175980149444071,0.0444,0.0410115938768206,0.0477884061231795,444,152,13
"SmoothFixed_6_asymp","Normal2Var",120390137,10000,10,10,1,3,5,0,0.0029,0.00151479447287271,0.00428520552712729,0.026,0.0228809508115453,0.0291190491884547,0.0683,0.0641503229217474,0.0724496770782526,683,260,29
"SmoothFixed_6_asymp","Normal2Var",96119962,10000,10,10,1,1,5,0,5e-04,-7.58670902213462e-05,0.00107586709022135,0.0074,0.00572019423789535,0.00907980576210466,0.024,0.0214823437565863,0.0265176562434137,240,74,5
"SmoothFixed_6_asymp","Normal2Var",618785,10000,10,10,5,1,3,0,0,0,0,5e-04,6.184025744028e-05,0.00093815974255972,0.0016,0.000942526610728617,0.00225747338927138,16,5,0
"SmoothFixed_6_asymp","Normal2Var",11840736,10000,10,10,5,3,5,0,6e-04,-3.07992327706179e-05,0.00123079923277062,0.0135,0.0112381098965688,0.0157618901034312,0.0365,0.0334151205745808,0.0395848794254192,365,135,6
"SmoothFixed_6_asymp","Normal2Var",39857019,10000,10,10,5,1,5,0,0,0,0,0.0026,0.00160189225110713,0.00359810774889287,0.0114,0.00965366068614945,0.0131463393138505,114,26,0
"SmoothFixed_6_asymp","Normal2Var",63381760,10000,20,20,0.5,1,3,0,0.0016,0.000570424649992046,0.00262957535000795,0.0222,0.0193122634147831,0.0250877365852169,0.0576,0.0537673886383303,0.0614326113616697,576,222,16
"SmoothFixed_6_asymp","Normal2Var",18413,10000,20,20,1.5,1,3,0,0.0029,0.00151479447287271,0.00428520552712729,0.0315,0.0280765722966594,0.0349234277033406,0.0805,0.0760245190873634,0.0849754809126367,805,315,29
