"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"TTest_VarUnequal","ghEqual",21604930,1000,10,10,2,3,3,3,0,0,0.093,0.0693412945963647,0.116658705403635,0.273,0.245387571754733,0.300612428245267,0.38,0.354750455647676,0.405249544352324
"TTest_VarUnequal","ghEqual",204855384,1000,10,10,2,3,1,3,0,0,0.19,0.158043061373154,0.221956938626846,0.407,0.376550467957619,0.437449532042381,0.526,0.500025455208994,0.551974544791006
"TTest_VarUnequal","ghEqual",266169875,1000,10,10,2,3,-1,1,0,0,0.413,0.372891175391742,0.453108824608258,0.828,0.804609717710126,0.851390282289874,0.938,0.925455216626023,0.950544783373977
"TTest_VarUnequal","ghEqual",67848379,1000,10,10,2,3,-3,3,0,0,0.831,0.800472606634958,0.861527393365042,0.989,0.982535267491999,0.995464732508001,1,1,1
"TTest_VarUnequal","ghEqual",58045,1000,10,10,2,3,-1,3,0,0,0.629,0.58964878589441,0.66835121410559,0.931,0.915290749782373,0.946709250217627,0.983,0.976275389693447,0.989724610306553
"TTest_VarUnequal","ghEqual",90929470,1000,10,10,2,3,1,-3,0,0,0.015,0.00509830366048322,0.0249016963395168,0.051,0.0373643995951773,0.0646356004048227,0.09,0.0751129772116786,0.104887022788321
"TTest_VarUnequal","ghEqual",59751,1000,10,10,2.5,3,1,1,0,0,0.162,0.131985896537528,0.192014103462472,0.384,0.353855225487657,0.414144774512343,0.518,0.492007126016925,0.543992873983075
"TTest_VarUnequal","ghEqual",40739245,1000,10,10,2.5,3,3,3,0,0,0.161,0.131060828563502,0.190939171436498,0.368,0.338109132471606,0.397890867528394,0.498,0.471990474323817,0.524009525676183
"TTest_VarUnequal","ghEqual",4699814,1000,10,10,2.5,3,1,3,0,0,0.302,0.264599531584538,0.339400468415462,0.565,0.534272662985543,0.595727337014457,0.687,0.662877826346388,0.711122173653612
"TTest_VarUnequal","ghEqual",33633861,1000,10,10,2.5,3,-1,1,0,0,0.632,0.592714859819825,0.671285140180175,0.929,0.91308183131136,0.94491816868864,0.98,0.972717274548632,0.987282725451368
"TTest_VarUnequal","ghEqual",253912,1000,10,10,2.5,3,-3,3,0,0,0.957,0.940475205956624,0.973524794043376,1,1,1,1,1,1
"TTest_VarUnequal","ghEqual",29320495,1000,10,10,2.5,3,-1,3,0,0,0.818,0.786568999574051,0.849431000425949,0.99,0.98383300397276,0.99616699602724,0.998,0.995675946235562,1.00032405376444
"TTest_VarUnequal","ghEqual",1552924,1000,10,10,2.5,3,1,-3,0,0,0.016,0.00577876439250127,0.0262212356074987,0.052,0.038238622394542,0.065761377605458,0.1,0.0843941597470691,0.115605840252931
"TTest_VarUnequal","ghEqual",4926882,1000,20,20,0,1,1,1,0,1,0.005,-0.000745692786775151,0.0107456927867752,0.041,0.0287098466079548,0.0532901533920452,0.096,0.0806755204460315,0.111324479553969
"TTest_VarUnequal","ghEqual",33008545,1000,20,20,0,1,3,3,0,1,0.005,-0.000745692786775151,0.0107456927867752,0.046,0.0330159800369839,0.0589840199630161,0.105,0.0890532542700713,0.120946745729929
"TTest_VarUnequal","ghEqual",5607746,1000,20,20,0,1,1,3,0,1,0.027,0.0137966492398331,0.0402033507601669,0.099,0.0804887364450722,0.117511263554928,0.166,0.146644563422645,0.185355436577355
"TTest_VarUnequal","ghEqual",30635,1000,20,20,0,1,-1,1,0,1,0.167,0.136617283940767,0.197382716059233,0.451,0.420158853484347,0.481841146515653,0.598,0.572494753757315,0.623505246242685
"TTest_VarUnequal","ghEqual",23840144,1000,20,20,0,1,-3,3,0,1,0.686,0.648192954446241,0.723807045553759,0.932,0.916396627236395,0.947603372763605,0.973,0.964568512422176,0.981431487577824
"TTest_VarUnequal","ghEqual",1274333,1000,20,20,0,1,-1,3,0,1,0.369,0.329692654019077,0.408307345980923,0.738,0.710745708418673,0.765254291581327,0.871,0.853563077594512,0.888436922405488
"TTest_VarUnequal","ghEqual",2242072,1000,20,20,0,1,1,-3,0,1,0.376,0.336542271882127,0.415457728117873,0.736,0.708678977940055,0.763321022059945,0.848,0.829323924437934,0.866676075562066
"TTest_VarUnequal","ghEqual",88800,1000,20,20,0.5,3,1,1,0,0,0.015,0.00509830366048322,0.0249016963395168,0.069,0.0532907497823734,0.0847092502176266,0.13,0.112505674419973,0.147494325580027
"TTest_VarUnequal","ghEqual",7452594,1000,20,20,0.5,3,3,3,0,0,0.017,0.00646954641356793,0.0275304535864321,0.073,0.0568765725231885,0.0891234274768115,0.124,0.106855343118044,0.141144656881956
"TTest_VarUnequal","ghEqual",60157021,1000,20,20,0.5,3,1,3,0,0,0.055,0.0364286657022173,0.0735713342977827,0.188,0.163783408794795,0.212216591205205,0.294,0.270300350781077,0.317699649218923
"TTest_VarUnequal","ghEqual",1660999,1000,20,20,0.5,3,-1,1,0,0,0.327,0.288785580468938,0.365214419531062,0.66,0.630639226168236,0.689360773831764,0.803,0.78231017639575,0.82368982360425
"TTest_VarUnequal","ghEqual",221788,1000,20,20,0.5,3,-3,3,0,0,0.921,0.899027006895191,0.942972993104809,0.987,0.979979204489518,0.994020795510482,0.994,0.989982695791952,0.998017304208048
"TTest_VarUnequal","ghEqual",33035643,1000,20,20,0.5,3,-1,3,0,0,0.612,0.572304851356167,0.651695148643833,0.892,0.872762422772085,0.911237577227915,0.951,0.939770660795265,0.962229339204735
