"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"CVM","Cauchy",837429,1000,20,20,0,0.5,2,1,0.048,0.0305865448547395,0.0654134551452605,0.244,0.217379765170082,0.270620234829918,0.429,0.403253831780729,0.454746168219271
"CVM","Cauchy",602270,1000,20,20,0,1,2,1,0.017,0.00646954641356793,0.0275304535864321,0.079,0.062281418289819,0.095718581710181,0.172,0.152368870220998,0.191631129779001
"CVM","Cauchy",615589,1000,20,20,0.5,1,1,0,0.051,0.0330789251822331,0.0689210748177669,0.148,0.125990674849055,0.170009325150945,0.248,0.225535297945443,0.270464702054557
"CVM","Cauchy",1322208,1000,20,20,0.5,0.5,0.5,0,0.196,0.163662836778963,0.228337163221037,0.396,0.365687473638774,0.426312526361226,0.527,0.501028216122588,0.552971783877412
"CVM","Cauchy",113855910,1000,20,20,0.5,2,2,0,0.018,0.00716976562691277,0.0288302343730872,0.067,0.0515034759510399,0.0824965240489601,0.123,0.105914871297675,0.140085128702325
"CVM","Cauchy",455334,1000,20,20,0.5,0.5,2,0,0.087,0.0640416393560864,0.109958360643914,0.321,0.292063668262891,0.349936331737109,0.518,0.492007126016925,0.543992873983075
"CVM","Cauchy",1585434,1000,20,20,0.5,1,2,0,0.031,0.0168814988308249,0.0451185011691751,0.131,0.110087709298118,0.151912290701882,0.218,0.196521817630442,0.239478182369558
"CVM","Cauchy",12150135,1000,20,20,1,1,1,0,0.212,0.178705162630582,0.245294837369418,0.405,0.374574195819995,0.435425804180005,0.526,0.500025455208994,0.551974544791006
"CVM","Cauchy",20358,1000,20,20,1,0.5,0.5,0,0.697,0.659564506558401,0.734435493441599,0.878,0.857714615468274,0.898285384531726,0.937,0.924361196188919,0.949638803811081
"CVM","Cauchy",237300,1000,20,20,1,2,2,0,0.056,0.0372705135557859,0.0747294864442141,0.155,0.132568915318246,0.177431084681754,0.233,0.211009173872385,0.254990826127615
"CVM","Cauchy",17616785,1000,20,20,1,0.5,2,0,0.226,0.191930123554319,0.260069876445681,0.525,0.494048441073187,0.555951558926813,0.699,0.675139049600341,0.722860950399659
"CVM","Cauchy",52838980,1000,20,20,1,1,2,0,0.091,0.0675712835404071,0.114428716459593,0.256,0.228950295705868,0.283049704294132,0.398,0.372537227843379,0.423462772156621
"CVM","Cauchy",625920,1000,20,20,1.5,1,1,0,0.426,0.3857184100286,0.4662815899714,0.694,0.665437480111167,0.722562519888833,0.797,0.776076078503899,0.817923921496101
"CVM","Cauchy",160303,1000,20,20,1.5,0.5,0.5,0,0.916,0.89340391298158,0.93859608701842,0.98,0.971322710100498,0.988677289899502,0.989,0.983574242359357,0.994425757640643
"CVM","Cauchy",346704242,1000,20,20,1.5,2,2,0,0.102,0.0773461861267673,0.126653813873233,0.286,0.257991606857943,0.314008393142057,0.393,0.367592816571391,0.418407183428609
"CVM","Cauchy",343361,1000,20,20,1.5,0.5,2,0,0.434,0.393626263985804,0.474373736014196,0.737,0.709712252390496,0.764287747609504,0.858,0.839842597600428,0.876157402399572
"CVM","Cauchy",2189719,1000,20,20,1.5,1,2,0,0.223,0.189091482732269,0.256908517267731,0.465,0.434085698455246,0.495914301544754,0.595,0.569464057206067,0.620535942793933
"CVM","Cauchy",92733,1000,20,20,2,1,1,0,0.687,0.649225702533919,0.724774297466081,0.878,0.857714615468274,0.898285384531726,0.942,0.929840790243605,0.954159209756394
"CVM","Cauchy",94713382,1000,20,20,2,0.5,0.5,0,0.99,0.981894805221341,0.998105194778659,0.999,0.997040980245123,1.00095901975488,0.999,0.997355822705728,1.00064417729427
"CVM","Cauchy",59721214,1000,20,20,2,2,2,0,0.191,0.158978858987475,0.223021141012525,0.404,0.373586256159427,0.434413743840573,0.505,0.478991566764317,0.531008433235683
"CVM","Cauchy",284563,1000,20,20,2,0.5,2,0,0.648,0.609095065062437,0.686904934937563,0.868,0.847020124843079,0.888979875156921,0.931,0.917815450710206,0.944184549289794
"CVM","Cauchy",15617021,1000,20,20,2,1,2,0,0.403,0.36304367404758,0.44295632595242,0.665,0.635745727833357,0.694254272166643,0.781,0.759486380825742,0.802513619174258
"CVM","Cauchy",413419,1000,20,20,2.5,1,1,0,0.849,0.819833240710974,0.878166759289026,0.958,0.945567356773397,0.970432643226603,0.983,0.976275389693447,0.989724610306553
"CVM","Cauchy",33543869,1000,20,20,2.5,0.5,0.5,0,0.997,0.99254493479105,1.00145506520895,1,1,1,1,1,1
"CVM","Cauchy",217079682,1000,20,20,2.5,2,2,0,0.33,0.291696343861193,0.368303656138807,0.576,0.545369771166379,0.606630228833621,0.704,0.680253583141872,0.727746416858128
"CVM","Cauchy",3569796,1000,20,20,2.5,0.5,2,0,0.786,0.752590958315091,0.819409041684909,0.954,0.941015980036984,0.966984019963016,0.978,0.970369611156697,0.985630388843303
"CVM","Cauchy",161263,1000,20,20,2.5,1,2,0,0.583,0.542834963722959,0.623165036277041,0.832,0.808827527503523,0.855172472496477,0.886,0.869467627239262,0.902532372760738
