"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Exp",5023087,10000,10,10,1.5,1.5,0,0.9712,0.966891794216213,0.975508205783787,0.9968,0.995693031978059,0.997906968021941,0.9995,0.999132258787495,0.999867741212506,9995,9968,9712
"CVM","Exp",1135792,10000,10,10,2,1.5,0,0.9956,0.993895038247448,0.997304961752552,0.9996,0.999208078407842,0.999991921592158,1,1,1,10000,9996,9956
"CVM","Exp",35819872,10000,10,10,2.5,1.5,0,0.9994,0.998769200767229,1.00003079923277,1,1,1,1,1,1,10000,10000,9994
"CVM","Exp",4352179,10000,10,10,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",59028,10000,20,20,0,1,1,0.0107,0.00804965901805522,0.0133503409819448,0.0514,0.0470720803327234,0.0557279196672767,0.0976,0.092718083416362,0.102481916583638,976,514,107
"CVM","Exp",65943,10000,20,20,0,0.5,1,0.0098,0.00726241640782102,0.012337583592179,0.0476,0.0434267995928305,0.0517732004071695,0.098,0.0931091740380586,0.102890825961941,980,476,98
"CVM","Exp",2409613,10000,20,20,0,0.25,1,0.0106,0.00796193954184822,0.0132380604581518,0.0512,0.0468800532862546,0.0555199467137454,0.1022,0.0972171117126811,0.107182888287319,1022,512,106
"CVM","Exp",155846661,10000,20,20,0,0.125,1,0.0099,0.00734963120325236,0.0124503687967476,0.0511,0.0467840466213825,0.0554159533786175,0.1009,0.095945321442114,0.105854678557886,1009,511,99
"CVM","Exp",10163034,10000,20,20,0.5,1,0,0.3651,0.352697636991306,0.377502363008694,0.6329,0.623452523692837,0.642347476307163,0.7659,0.758934494429191,0.772865505570809,7659,6329,3651
"CVM","Exp",54812,10000,20,20,0.5,0.5,0,0.0828,0.0757010674445508,0.0898989325554492,0.2298,0.221554199168449,0.238045800831551,0.3417,0.333898101082507,0.349501898917493,3417,2298,828
"CVM","Exp",289464,10000,20,20,0.5,0.25,0,0.0244,0.02042555338694,0.02837444661306,0.0876,0.0820588390784602,0.0931411609215398,0.1612,0.155151082909115,0.167248917090885,1612,876,244
