"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","Normal2Var",1603872,10000,100,100,1.5,1,3,0,0.9528,0.947337169415073,0.958262830584927,0.9907,0.988818654204672,0.992581345795328,0.9952,0.994063049113462,0.996336950886538,9952,9907,9528
"BM","Normal2Var",551390,10000,100,100,2,1,3,0,0.999,0.99818580467798,0.99981419532202,0.9999,0.999704009800245,1.00009599019976,0.9999,0.999735508225206,1.00006449177479,9999,9999,9990
"BM","Normal2Var",177061005,10000,100,100,2.5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BM","Normal2Var",82741,10000,100,100,0.5,3,5,0,0.0415,0.0363623328369385,0.0466376671630615,0.1302,0.12360414248838,0.13679585751162,0.2127,0.20596837719619,0.21943162280381,2127,1302,415
"BM","Normal2Var",12076327,10000,100,100,1.5,3,5,0,0.4517,0.438880236099961,0.464519763900039,0.6905,0.681439164632331,0.699560835367669,0.7922,0.785525694324958,0.798874305675042,7922,6905,4517
"BM","Normal2Var",1411620,10000,100,100,2,3,5,0,0.7549,0.74381942680265,0.76598057319735,0.9048,0.899047576636443,0.910552423363557,0.9468,0.943108092230242,0.950491907769758,9468,9048,7549
"BM","Normal2Var",341930,10000,100,100,2.5,3,5,0,0.9338,0.927395255812864,0.940204744187136,0.982,0.979394158070796,0.984605841929204,0.9935,0.992178075912023,0.994821924087978,9935,9820,9338
"BM","Normal2Var",70669,10000,100,100,0.5,1,5,0,0.0426,0.0373976763196987,0.0478023236803013,0.1314,0.124778388956878,0.138021611043122,0.2169,0.210120396577234,0.223679603422766,2169,1314,426
"BM","Normal2Var",68796,10000,100,100,1.5,1,5,0,0.4763,0.463434477270711,0.489165522729289,0.7151,0.706253210679665,0.723946789320335,0.8138,0.807396541734352,0.820203458265648,8138,7151,4763
"BM","Normal2Var",71668367,10000,100,100,2,1,5,0,0.7806,0.769939478661976,0.791260521338024,0.9197,0.914373561251117,0.925026438748883,0.9588,0.955530521220072,0.962069478779928,9588,9197,7806
