"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Lepage","ghEqual",14379416,1000,10,10,2,3,-3,3,0,0,0.99,0.981894805221341,0.998105194778659,1,1,1,1,1,1
"Lepage","ghEqual",545381,1000,10,10,2,3,-1,3,0,0,0.446,0.405508098622268,0.486491901377732,0.773,0.747036768429181,0.798963231570819,0.89,0.873723641454551,0.906276358545449
"Lepage","ghEqual",956294,1000,10,10,2,3,1,-3,0,0,0.037,0.0216234160277388,0.0523765839722612,0.112,0.0924533847022048,0.131546615297795,0.193,0.172470360456769,0.213529639543231
"Lepage","ghEqual",19673,1000,10,10,2.5,3,1,1,0,0,0.198,0.165538720208593,0.230461279791407,0.546,0.515141108665411,0.576858891334589,0.71,0.686395539669376,0.733604460330624
"Lepage","ghEqual",107709,1000,10,10,2.5,3,3,3,0,0,0.389,0.349286216449399,0.428713783550601,0.702,0.673651325364314,0.730348674635686,0.844,0.825124458270026,0.862875541729974
"Lepage","ghEqual",311281,1000,10,10,2.5,3,1,3,0,0,0.389,0.349286216449399,0.428713783550601,0.739,0.7117793466941,0.7662206533059,0.871,0.853563077594512,0.888436922405488
"Lepage","ghEqual",60787,1000,10,10,2.5,3,-1,1,0,0,0.404,0.36402765095239,0.44397234904761,0.711,0.682904304130348,0.739095695869652,0.835,0.815691385487949,0.854308614512051
"Lepage","ghEqual",93393141,1000,10,10,2.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",25628025,1000,10,10,2.5,3,-1,3,0,0,0.732,0.695919811633308,0.768080188366692,0.942,0.927512430928551,0.956487569071449,0.982,0.975083953593273,0.988916046406727
"Lepage","ghEqual",38820213,1000,10,10,2.5,3,1,-3,0,0,0.044,0.0272928972690056,0.0607071027309944,0.143,0.121302259988653,0.164697740011347,0.222,0.200381169922958,0.243618830077042
"Lepage","ghEqual",476007,1000,20,20,0,1,1,1,0,1,0.008,0.000743174362298623,0.0152568256377014,0.044,0.031288074009026,0.056711925990974,0.081,0.0668072625975466,0.0951927374024534
"Lepage","ghEqual",2184626,1000,20,20,0,1,3,3,0,1,0.008,0.000743174362298623,0.0152568256377014,0.046,0.0330159800369839,0.0589840199630161,0.101,0.0853250402241345,0.116674959775865
"Lepage","ghEqual",5355140,1000,20,20,0,1,1,3,0,1,0.105,0.0800280747718563,0.129971925228144,0.27,0.242483107733612,0.297516892266388,0.38,0.354750455647676,0.405249544352324
"Lepage","ghEqual",36095,1000,20,20,0,1,-1,1,0,1,0.048,0.0305865448547395,0.0654134551452605,0.178,0.154291614445517,0.201708385554483,0.29,0.266395539669376,0.313604460330624
"Lepage","ghEqual",12453180,1000,20,20,0,1,-3,3,0,1,0.209,0.175878709980679,0.242121290019321,0.472,0.441058309910414,0.502941690089586,0.584,0.558359942714573,0.609640057285427
"Lepage","ghEqual",75243,1000,20,20,0,1,-1,3,0,1,0.161,0.131060828563502,0.190939171436498,0.347,0.317496237772108,0.376503762227892,0.471,0.445034051471687,0.496965948528313
"Lepage","ghEqual",583060,1000,20,20,0,1,1,-3,0,1,0.138,0.10990435318673,0.16609564681327,0.324,0.294993059478807,0.353006940521193,0.44,0.414178215398621,0.465821784601379
"Lepage","ghEqual",341192,1000,20,20,0.5,3,1,1,0,0,0.029,0.0153304419828584,0.0426695580171416,0.102,0.083241663357323,0.120758336642677,0.185,0.164800967365366,0.205199032634634
"Lepage","ghEqual",769076,1000,20,20,0.5,3,3,3,0,0,0.271,0.234792856080823,0.307207143919177,0.506,0.4750119103138,0.5369880896862,0.621,0.595763373086425,0.646236626913575
"Lepage","ghEqual",3388310,1000,20,20,0.5,3,1,3,0,0,0.297,0.259777825066017,0.334222174933983,0.512,0.481018605428419,0.542981394571581,0.648,0.623155816004546,0.672844183995455
"Lepage","ghEqual",5978693,1000,20,20,0.5,3,-1,1,0,0,0.108,0.0827163270718829,0.133283672928117,0.308,0.279385611004252,0.336614388995748,0.436,0.41020421794944,0.46179578205056
"Lepage","ghEqual",83724036,1000,20,20,0.5,3,-3,3,0,0,0.37,0.330670629478722,0.409329370521278,0.649,0.619417697209311,0.678582302790689,0.753,0.730565733892659,0.775434266107341
"Lepage","ghEqual",1454546,1000,20,20,0.5,3,-1,3,0,0,0.266,0.230005619197658,0.301994380802342,0.528,0.497058309910414,0.558941690089586,0.647,0.622139755516588,0.671860244483412
"Lepage","ghEqual",210221735,1000,20,20,0.5,3,1,-3,0,0,0.076,0.0544131814798011,0.0975868185201988,0.212,0.186666971566747,0.237333028433253,0.318,0.293774561347625,0.342225438652375
"Lepage","ghEqual",8458457,1000,20,20,1,3,1,1,0,0,0.126,0.0989674604185252,0.153032539581475,0.321,0.292063668262891,0.349936331737109,0.458,0.432082191028175,0.483917808971825
"Lepage","ghEqual",145775131,1000,20,20,1,3,3,3,0,0,0.547,0.5064502087451,0.5875497912549,0.768,0.741837413705828,0.794162586294172,0.837,0.817785794401667,0.856214205598333
"Lepage","ghEqual",36094013,1000,20,20,1,3,1,3,0,0,0.503,0.462270596886082,0.543729403113918,0.747,0.720055096481895,0.773944903518105,0.825,0.805234313587052,0.844765686412948
"Lepage","ghEqual",94736,1000,20,20,1,3,-1,1,0,0,0.259,0.223313426976747,0.294686573023253,0.51,0.479015877614494,0.540984122385506,0.638,0.613000545807958,0.662999454192042
"Lepage","ghEqual",4318288,1000,20,20,1,3,-3,3,0,0,0.652,0.613197538334585,0.690802461665415,0.866,0.844886150744121,0.887113849255879,0.926,0.912382817578515,0.939617182421485
"Lepage","ghEqual",127359,1000,20,20,1,3,-1,3,0,0,0.498,0.457270189579425,0.538729810420575,0.748,0.721090406290693,0.774909593709307,0.841,0.821977724716139,0.860022275283861
"Lepage","ghEqual",77383331,1000,20,20,1,3,1,-3,0,0,0.046,0.0289352880486074,0.0630647119513926,0.144,0.122239232954696,0.165760767045304,0.227,0.205209430645919,0.248790569354081
"Lepage","ghEqual",19992049,1000,20,20,1.5,3,1,1,0,0,0.276,0.239585891423461,0.312414108576539,0.543,0.512124493824392,0.573875506175608,0.672,0.647577649449736,0.696422350550264
"Lepage","ghEqual",21318099,1000,20,20,1.5,3,3,3,0,0,0.716,0.679266565162729,0.752733434837271,0.881,0.860931380157071,0.901068619842929,0.932,0.918904312144832,0.945095687855168
"Lepage","ghEqual",11063722,1000,20,20,1.5,3,1,3,0,0,0.674,0.635815719912194,0.712184280087806,0.873,0.852362121388088,0.893637878611912,0.923,0.909132054846698,0.936867945153302
"Lepage","ghEqual",9928279,1000,20,20,1.5,3,-1,1,0,0,0.449,0.408482295886563,0.489517704113437,0.733,0.705580237462735,0.760419762537265,0.836,0.816738461857889,0.855261538142111
"Lepage","ghEqual",376314,1000,20,20,1.5,3,-3,3,0,0,0.958,0.941659954616464,0.974340045383535,0.994,0.98921342477339,0.99878657522661,0.999,0.997355822705728,1.00064417729427
"Lepage","ghEqual",833144,1000,20,20,1.5,3,-1,3,0,0,0.754,0.718916809216036,0.789083190783964,0.917,0.899900642772315,0.934099357227686,0.951,0.939770660795265,0.962229339204735
"Lepage","ghEqual",2940241,1000,20,20,1.5,3,1,-3,0,0,0.038,0.0224251026502259,0.0535748973497741,0.128,0.107292899150291,0.148707100849709,0.201,0.180153299806084,0.221846700193916
"Lepage","ghEqual",287682,1000,20,20,2,3,1,1,0,0,0.54,0.499400409381374,0.580599590618626,0.789,0.763710758682792,0.814289241317208,0.873,0.85567892330786,0.89032107669214
"Lepage","ghEqual",336837,1000,20,20,2,3,3,3,0,0,0.823,0.791909163316244,0.854090836683756,0.929,0.91308183131136,0.94491816868864,0.958,0.947565460149101,0.968434539850899
"Lepage","ghEqual",2972256,1000,20,20,2,3,1,3,0,0,0.842,0.812288098412656,0.871711901587344,0.947,0.933114261071156,0.960885738928843,0.968,0.95884457371828,0.977155426281719
"Lepage","ghEqual",47571840,1000,20,20,2,3,-1,1,0,0,0.706,0.668887357818878,0.743112642181122,0.888,0.868453384702205,0.907546615297795,0.936,0.923268082563887,0.948731917436113
"Lepage","ghEqual",105368745,1000,20,20,2,3,-3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",267717610,1000,20,20,2,3,-1,3,0,0,0.926,0.904676071782526,0.947323928217474,0.985,0.977466100611237,0.992533899388763,0.994,0.989982695791952,0.998017304208048
"Lepage","ghEqual",19390,1000,20,20,2,3,1,-3,0,0,0.056,0.0372705135557859,0.0747294864442141,0.134,0.112886150744121,0.155113849255879,0.215,0.193629240318253,0.236370759681747
"Lepage","ghEqual",1860268,1000,20,20,2.5,3,1,1,0,0,0.701,0.663705871590504,0.738294128409496,0.887,0.867377375058367,0.906622624941633,0.94,0.927646060952069,0.952353939047931
"Lepage","ghEqual",3064241,1000,20,20,2.5,3,3,3,0,0,0.869,0.841515275077527,0.896484724922473,0.969,0.958257662153888,0.979742337846112,0.984,0.977472852261516,0.990527147738484
"Lepage","ghEqual",35156305,1000,20,20,2.5,3,1,3,0,0,0.922,0.900154669450521,0.943845330549479,0.981,0.972538109998351,0.989461890001649,0.988,0.982335846718176,0.993664153281824
"Lepage","ghEqual",21663378,1000,20,20,2.5,3,-1,1,0,0,0.904,0.880002517123998,0.927997482876002,0.974,0.964136700430383,0.983863299569617,0.986,0.979888210646627,0.992111789353373
"Lepage","ghEqual",1487338,1000,20,20,2.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",17272,1000,20,20,2.5,3,-1,3,0,0,0.994,0.987709072559312,1.00029092744069,0.999,0.997040980245123,1.00095901975488,1,1,1
"Lepage","ghEqual",56477,1000,20,20,2.5,3,1,-3,0,0,0.062,0.0423554030569217,0.0816445969430783,0.177,0.153343928610186,0.200656071389814,0.257,0.234268564062625,0.279731435937375
"Lepage","ghEqual",131902,1000,100,100,0,1,1,1,0,1,0.013,0.00377266875765262,0.0222273312423474,0.052,0.038238622394542,0.065761377605458,0.091,0.0760387272608578,0.105961272739142
"Lepage","ghEqual",694829,1000,100,100,0,1,3,3,0,1,0.005,-0.000745692786775151,0.0107456927867752,0.057,0.0426302455970883,0.0713697544029117,0.106,0.0899864509523966,0.122013549047603
"Lepage","ghEqual",47688207,1000,100,100,0,1,1,3,0,1,0.701,0.663705871590504,0.738294128409496,0.846,0.823628164706489,0.868371835293511,0.899,0.883325040224135,0.914674959775865
"Lepage","ghEqual",100114,1000,100,100,0,1,-1,1,0,1,0.396,0.356160679639532,0.435839320360468,0.624,0.593977815562488,0.654022184437512,0.734,0.711014457911548,0.756985542088452
"Lepage","ghEqual",66165685,1000,100,100,0,1,-3,3,0,1,0.925,0.903544069351343,0.946455930648658,0.978,0.968908472867554,0.987091527132446,0.99,0.98482412833428,0.99517587166572
"Lepage","ghEqual",16757,1000,100,100,0,1,-1,3,0,1,0.807,0.774851458076983,0.839148541923017,0.928,0.911978753306936,0.944021246693064,0.959,0.948685049831676,0.969314950168324
"Lepage","ghEqual",707552,1000,100,100,0,1,1,-3,0,1,0.794,0.761054984206044,0.826945015793956,0.916,0.898807325094681,0.933192674905319,0.952,0.94087999467626,0.96312000532374
"Lepage","ghEqual",85618,1000,100,100,0.5,3,1,1,0,0,0.255,0.219494626524989,0.290505373475011,0.487,0.456020155429699,0.517979844570301,0.627,0.601843275794035,0.652156724205965
"Lepage","ghEqual",224442,1000,100,100,0.5,3,3,3,0,0,0.978,0.966051135768785,0.989948864231215,0.995,0.990628277227454,0.999371722772546,0.997,0.994155053467111,0.999844946532889
"Lepage","ghEqual",179657,1000,100,100,0.5,3,1,3,0,0,0.975,0.962282019028163,0.987717980971837,0.993,0.987832509158208,0.998167490841792,0.996,0.992716586593193,0.999283413406807
"Lepage","ghEqual",44239253,1000,100,100,0.5,3,-1,1,0,0,0.804,0.771662836778963,0.836337163221037,0.931,0.915290749782373,0.946709250217627,0.966,0.956572556810036,0.975427443189964
"Lepage","ghEqual",91760475,1000,100,100,0.5,3,-3,3,0,0,0.998,0.994360630700794,1.00163936929921,0.999,0.997040980245123,1.00095901975488,1,1,1
"Lepage","ghEqual",44438973,1000,100,100,0.5,3,-1,3,0,0,0.975,0.962282019028163,0.987717980971837,0.992,0.986478502232184,0.997521497767816,0.996,0.992716586593193,0.999283413406807
"Lepage","ghEqual",4144259,1000,100,100,0.5,3,1,-3,0,0,0.405,0.365011800220565,0.444988199779435,0.614,0.583825928905764,0.644174071094236,0.722,0.698694581876739,0.74530541812326
