"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuen","ghEqual",19345,1000,10,10,2,3,-1,1,0,0,0.069,0.0483535568568337,0.0896464431431663,0.318,0.289135647563127,0.346864352436873,0.504,0.477991098569913,0.530008901430087
"Yuen","ghEqual",96375,1000,10,10,2,3,-3,3,0,0,0.122,0.0953392089011597,0.14866079109884,0.563,0.532256664305902,0.593743335694098,0.836,0.816738461857889,0.855261538142111
"Yuen","ghEqual",99120097,1000,10,10,2,3,-1,3,0,0,0.095,0.0711146312232781,0.118885368776722,0.414,0.383471529248913,0.444528470751087,0.637,0.611985666773328,0.662014333226672
"Yuen","ghEqual",38826,1000,10,10,2,3,1,-3,0,0,0.059,0.0398059475945281,0.0781940524054719,0.133,0.111952939929767,0.154047060070233,0.201,0.180153299806084,0.221846700193916
"Yuen","ghEqual",27850,1000,10,10,2.5,3,1,1,0,0,0.133,0.105338149621979,0.160661850378021,0.34,0.310639226168236,0.369360773831764,0.489,0.462996561362485,0.515003438637515
"Yuen","ghEqual",14698754,1000,10,10,2.5,3,3,3,0,0,0.13,0.102604630581064,0.157395369418936,0.361,0.331231284098907,0.390768715901093,0.489,0.462996561362485,0.515003438637515
"Yuen","ghEqual",171077005,1000,10,10,2.5,3,1,3,0,0,0.172,0.141258486133308,0.202741513866692,0.439,0.408241173520435,0.469758826479565,0.581,0.555333835113617,0.606666164886383
"Yuen","ghEqual",15123552,1000,10,10,2.5,3,-1,1,0,0,0.123,0.0962454154789128,0.149754584521087,0.466,0.435081411571678,0.496918588428323,0.68,0.655734158988405,0.704265841011595
"Yuen","ghEqual",88758970,1000,10,10,2.5,3,-3,3,0,0,0.22,0.186255383220431,0.253744616779569,0.751,0.724197474775686,0.777802525224314,0.933,0.919993988744623,0.946006011255377
"Yuen","ghEqual",21833047,1000,10,10,2.5,3,-1,3,0,0,0.164,0.133837250909375,0.194162749090625,0.612,0.581797169510127,0.642202830489873,0.848,0.829323924437934,0.866676075562066
"Yuen","ghEqual",90146450,1000,10,10,2.5,3,1,-3,0,0,0.095,0.0711146312232781,0.118885368776722,0.201,0.176161378492356,0.225838621507644,0.271,0.247878590160308,0.294121409839692
"Yuen","ghEqual",132989466,1000,20,20,0,1,1,1,0,1,0.006,-0.000290927440687899,0.0122909274406879,0.049,0.0356203617986135,0.0623796382013865,0.089,0.0741877820372842,0.103812217962716
"Yuen","ghEqual",2820499,1000,20,20,0,1,3,3,0,1,0.004,-0.00114168567534034,0.00914168567534034,0.034,0.0227673017311066,0.0452326982688934,0.093,0.0778918593210481,0.108108140678952
"Yuen","ghEqual",299955,1000,20,20,0,1,1,3,0,1,0.006,-0.000290927440687899,0.0122909274406879,0.041,0.0287098466079548,0.0532901533920452,0.092,0.0769650239641029,0.107034976035897
"Yuen","ghEqual",35285,1000,20,20,0,1,-1,1,0,1,0.011,0.00250349441805633,0.0194965055819437,0.067,0.0515034759510399,0.0824965240489601,0.128,0.110620826072566,0.145379173927434
"Yuen","ghEqual",188740989,1000,20,20,0,1,-3,3,0,1,0.015,0.00509830366048322,0.0249016963395168,0.147,0.125052287918783,0.168947712081217,0.283,0.259567496105303,0.306432503894697
"Yuen","ghEqual",7401632,1000,20,20,0,1,-1,3,0,1,0.016,0.00577876439250127,0.0262212356074987,0.091,0.073173802693788,0.108826197306212,0.184,0.163843278599931,0.204156721400069
"Yuen","ghEqual",16946,1000,20,20,0,1,1,-3,0,1,0.017,0.00646954641356793,0.0275304535864321,0.099,0.0804887364450722,0.117511263554928,0.19,0.16959271582253,0.21040728417747
"Yuen","ghEqual",174662812,1000,20,20,0.5,3,1,1,0,0,0.015,0.00509830366048322,0.0249016963395168,0.071,0.05508183131136,0.08691816868864,0.13,0.112505674419973,0.147494325580027
"Yuen","ghEqual",241221160,1000,20,20,0.5,3,3,3,0,0,0.005,-0.000745692786775151,0.0107456927867752,0.058,0.0435124309285512,0.0724875690714488,0.124,0.106855343118044,0.141144656881956
"Yuen","ghEqual",3790930,1000,20,20,0.5,3,1,3,0,0,0.022,0.0100511357687854,0.0339488642312146,0.107,0.087840962404129,0.126159037595871,0.185,0.164800967365366,0.205199032634634
"Yuen","ghEqual",26581140,1000,20,20,0.5,3,-1,1,0,0,0.029,0.0153304419828584,0.0426695580171416,0.127,0.106362121388088,0.147637878611912,0.249,0.226505023472451,0.271494976527549
"Yuen","ghEqual",92905,1000,20,20,0.5,3,-3,3,0,0,0.066,0.0457748726643316,0.0862251273356684,0.306,0.277437480111167,0.334562519888833,0.481,0.455009052057014,0.506990947942986
"Yuen","ghEqual",997601,1000,20,20,0.5,3,-1,3,0,0,0.035,0.0200292507067949,0.0499707492932051,0.193,0.168539152884661,0.217460847115339,0.326,0.301616016791754,0.350383983208246
"Yuen","ghEqual",22644703,1000,20,20,0.5,3,1,-3,0,0,0.011,0.00250349441805633,0.0194965055819437,0.061,0.0461661533512039,0.0758338466487961,0.128,0.110620826072566,0.145379173927434
"Yuen","ghEqual",4845394,1000,20,20,1,3,1,1,0,0,0.037,0.0216234160277388,0.0523765839722612,0.156,0.133509992832371,0.178490007167629,0.25,0.2274749098226,0.2725250901774
"Yuen","ghEqual",382720,1000,20,20,1,3,3,3,0,0,0.045,0.0281129495292991,0.0618870504707009,0.171,0.147663732637802,0.194336267362198,0.277,0.25372043100109,0.30027956899891
"Yuen","ghEqual",23459,1000,20,20,1,3,1,3,0,0,0.075,0.0535440693513425,0.0964559306486575,0.243,0.216416806783232,0.269583193216768,0.377,0.351789549829981,0.402210450170019
