"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Cauchy",2078143,10000,10,10,5,0.5,0.5,0,0.9426,0.936608086673973,0.948591913326027,0.9887,0.986628296688809,0.990771703311191,0.9985,0.99786337224819,0.99913662775181,9985,9887,9426
"KS","Cauchy",321390517,10000,10,10,5,2,2,0,0.2944,0.282659298471451,0.306140701528549,0.5419,0.532134470579513,0.551665529420487,0.7528,0.745703733113362,0.759896266886638,7528,5419,2944
"KS","Cauchy",271101,10000,10,10,5,0.5,2,0,0.6411,0.628743499920677,0.653456500079323,0.8546,0.847690927994701,0.861509072005299,0.9571,0.953766709178158,0.960433290821842,9571,8546,6411
"KS","Cauchy",102663482,10000,10,10,5,1,2,0,0.4883,0.475423526769246,0.501176473230754,0.7308,0.722106535831005,0.739493464168995,0.8847,0.879446139109115,0.889953860890885,8847,7308,4883
"KS","Cauchy",401784,10000,10,10,5,0.5,1,0,0.8523,0.843160291375624,0.861439708624376,0.9632,0.95950989930197,0.96689010069803,0.9915,0.989989844306247,0.993010155693753,9915,9632,8523
"KS","Cauchy",290256210,10000,10,10,0.5,0.5,1,0,0.0161,0.0128578412422733,0.0193421587577267,0.0619,0.0571769127996193,0.0666230872003807,0.1763,0.170031312918021,0.182568687081979,1763,619,161
"KS","Cauchy",24298027,10000,10,10,1,0.5,1,0,0.0785,0.0715716733236372,0.0854283266763628,0.206,0.198073162910719,0.213926837089281,0.4075,0.399416975667525,0.415583024332474,4075,2060,785
"KS","Cauchy",53609903,10000,10,10,1.5,0.5,1,0,0.2005,0.190186352566352,0.210813647433648,0.4139,0.404246392319635,0.423553607680365,0.6395,0.631601605688535,0.647398394311465,6395,4139,2005
"KS","Cauchy",127501248,10000,10,10,2,0.5,1,0,0.3473,0.335035352892835,0.359564647107165,0.5939,0.58427436856064,0.60352563143936,0.8038,0.797267349787422,0.810332650212578,8038,5939,3473
"KS","Cauchy",147897,10000,10,10,2.5,0.5,1,0,0.4808,0.46792949966965,0.49367050033035,0.7333,0.724632209184711,0.741967790815289,0.8891,0.883934564053541,0.894265435946459,8891,7333,4808
"KS","Cauchy",31647498,10000,20,20,0,1,1,1,0.0042,0.0025340707064416,0.0058659292935584,0.0351,0.0314929614587033,0.0387070385412967,0.0853,0.0807050609246939,0.0898949390753061,853,351,42
"KS","Cauchy",6295865,10000,20,20,0,0.5,0.5,1,0.0037,0.00213598185986991,0.00526401814013009,0.0312,0.0277923856894302,0.0346076143105698,0.0791,0.0746602309382159,0.0835397690617841,791,312,37
"KS","Cauchy",1130638,10000,20,20,0,2,2,1,0.0041,0.00245394003130384,0.00574605996869616,0.0358,0.0321584930073389,0.0394415069926611,0.0814,0.0769017734428889,0.0858982265571111,814,358,41
"KS","Cauchy",115604795,10000,20,20,0.5,1,1,0,0.0292,0.0248628727116747,0.0335371272883253,0.1196,0.113239933184753,0.125960066815247,0.2124,0.205671844624297,0.219128155375703,2124,1196,292
"KS","Cauchy",33288346,10000,20,20,0.5,0.5,0.5,0,0.144,0.134955928500592,0.153044071499408,0.3765,0.367003648298425,0.385996351701575,0.5259,0.517686042236718,0.534113957763282,5259,3765,1440
"KS","Cauchy",204453,10000,20,20,0.5,2,2,0,0.009,0.00656721381654696,0.011432786183453,0.0519,0.0475522273768745,0.0562477726231255,0.1106,0.105440685190541,0.115759314809459,1106,519,90
"KS","Cauchy",382672,10000,20,20,0.5,0.5,2,0,0.0831,0.0759893818517892,0.0902106181482107,0.3033,0.29429019935306,0.31230980064694,0.4878,0.479577448782531,0.496022551217469,4878,3033,831
"KS","Cauchy",5034256,10000,20,20,0.5,1,2,0,0.0235,0.0195977425930111,0.0274022574069889,0.1194,0.113044531430146,0.125755468569854,0.2301,0.223176250107133,0.237023749892867,2301,1194,235
"KS","Cauchy",68062416,10000,20,20,1,1,1,0,0.1408,0.131840282423651,0.149759717576349,0.3699,0.360437563527378,0.379362436472622,0.5198,0.511581451588273,0.528018548411727,5198,3699,1408
"KS","Cauchy",18404,10000,20,20,1,0.5,0.5,0,0.638,0.625620289656636,0.650379710343364,0.8698,0.86320414248838,0.876395857511621,0.9346,0.930533060940818,0.938666939059182,9346,8698,6380
"KS","Cauchy",25603,10000,20,20,1,2,2,0,0.0252,0.0211625803783981,0.0292374196216019,0.112,0.105818817511188,0.118181182488812,0.211,0.204288097617106,0.217711902382894,2110,1120,252
"KS","Cauchy",243945134,10000,20,20,1,0.5,2,0,0.206,0.195581871254088,0.216418128745912,0.4992,0.489400012544008,0.508999987455992,0.6695,0.661762032080425,0.677237967919575,6695,4992,2060
"KS","Cauchy",118345,10000,20,20,1,1,2,0,0.0769,0.0700366933400245,0.0837633066599755,0.2504,0.241908429442418,0.258891570557582,0.3883,0.380282871625465,0.396317128374535,3883,2504,769
"KS","Cauchy",15095503,10000,20,20,1.5,1,1,0,0.3867,0.374155035777559,0.399244964222441,0.6861,0.67700410498926,0.69519589501074,0.8047,0.798178702326931,0.811221297673069,8047,6861,3867
"KS","Cauchy",2699923,10000,20,20,1.5,0.5,0.5,0,0.9128,0.905532384928877,0.920067615071123,0.9836,0.981110642587654,0.986089357412346,0.9933,0.991958027793218,0.994641972206782,9933,9836,9128
"KS","Cauchy",954583,10000,20,20,1.5,2,2,0,0.0648,0.0584585932479854,0.0711414067520146,0.2276,0.219382053061841,0.235817946938159,0.3557,0.34782497573656,0.36357502426344,3557,2276,648
"KS","Cauchy",35689352,10000,20,20,1.5,0.5,2,0,0.4101,0.397429902952186,0.422770097047814,0.7146,0.705748547121834,0.723451452878166,0.8395,0.833461712726329,0.845538287273671,8395,7146,4101
"KS","Cauchy",72658,10000,20,20,1.5,1,2,0,0.187,0.17695587902773,0.19704412097227,0.4508,0.441047559949551,0.460552440050449,0.6029,0.594851063748359,0.610948936251641,6029,4508,1870
"KS","Cauchy",57082352,10000,20,20,2,1,1,0,0.6405,0.628138963947888,0.652861036052111,0.8702,0.86361276803554,0.87678723196446,0.9331,0.928989988321796,0.937210011678204,9331,8702,6405
"KS","Cauchy",5310855,10000,20,20,2,0.5,0.5,0,0.9812,0.977701325391944,0.984698674608056,0.9978,0.996881690321515,0.998718309678485,0.9998,0.999567385133966,1.00003261486603,9998,9978,9812
"KS","Cauchy",58646008,10000,20,20,2,2,2,0,0.139,0.130088417447479,0.147911582552521,0.3749,0.36541169708755,0.38438830291245,0.5232,0.51498385881874,0.53141614118126,5232,3749,1390
"KS","Cauchy",401713,10000,20,20,2,0.5,2,0,0.6167,0.604175735164923,0.629224264835077,0.8657,0.859016902664064,0.872383097335936,0.9428,0.938979909043439,0.946620090956561,9428,8657,6167
"KS","Cauchy",5864859,10000,20,20,2,1,2,0,0.3501,0.337812453267954,0.362387546732046,0.6445,0.63511817484921,0.65388182515079,0.7783,0.771466829393409,0.785133170606591,7783,6445,3501
"KS","Cauchy",344535,10000,20,20,2.5,1,1,0,0.8051,0.79489585334824,0.81530414665176,0.9512,0.946977186481787,0.955422813518213,0.9767,0.974218441848601,0.979181558151399,9767,9512,8051
"KS","Cauchy",10399000,10000,20,20,2.5,0.5,0.5,0,0.9952,0.99341958329257,0.99698041670743,1,1,1,1,1,1,10000,10000,9952
"KS","Cauchy",25071,10000,20,20,2.5,2,2,0,0.2454,0.234314850915843,0.256485149084157,0.5277,0.517915050440927,0.537484949559073,0.6781,0.670414479898213,0.685785520101787,6781,5277,2454
"KS","Cauchy",253592802,10000,20,20,2.5,0.5,2,0,0.7805,0.769837732486117,0.791162267513883,0.9408,0.936174426576348,0.945425573423652,0.9738,0.971172447313582,0.976427552686418,9738,9408,7805
"KS","Cauchy",173231882,10000,20,20,2.5,1,2,0,0.5236,0.51073435528938,0.53646564471062,0.7982,0.790333663615024,0.806066336384976,0.8862,0.880976003152767,0.891423996847233,8862,7982,5236
"KS","Cauchy",99340,10000,20,20,5,1,1,0,0.9963,0.99473598185987,0.99786401814013,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9963
"KS","Cauchy",28152,10000,20,20,5,0.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Cauchy",12186873,10000,20,20,5,2,2,0,0.8173,0.807345811013845,0.827254188986155,0.9555,0.951458417740538,0.959541582259462,0.9808,0.978542609228689,0.983057390771311,9808,9555,8173
"KS","Cauchy",3399926,10000,20,20,5,0.5,2,0,0.9917,0.989362912021524,0.994037087978476,0.9995,0.99906184025744,0.99993815974256,0.9998,0.999567385133966,1.00003261486603,9998,9995,9917
"KS","Cauchy",13699004,10000,20,20,5,1,2,0,0.9548,0.94944855235099,0.96015144764901,0.9951,0.993731365527834,0.996468634472166,0.9984,0.997742526610729,0.999057473389271,9984,9951,9548
"KS","Cauchy",187905934,10000,20,20,5,0.5,1,0,0.9997,0.999253890643434,1.00014610935657,1,1,1,1,1,1,10000,10000,9997
"KS","Cauchy",154626273,10000,20,20,0.5,0.5,1,0,0.0779,0.070995955236502,0.084804044763498,0.2564,0.247841753870892,0.264958246129108,0.395,0.386958406100934,0.403041593899066,3950,2564,779
"KS","Cauchy",1452182,10000,20,20,1,0.5,1,0,0.3475,0.335233701722198,0.359766298277802,0.6438,0.634414043975726,0.653185956024274,0.7747,0.767827523299728,0.781572476700272,7747,6438,3475
"KS","Cauchy",162113,10000,20,20,1.5,0.5,1,0,0.6631,0.650924525985406,0.675275474014594,0.8877,0.881511590282342,0.893888409717658,0.9453,0.941559373085194,0.949040626914807,9453,8877,6631
"KS","Cauchy",786436,10000,20,20,2,0.5,1,0,0.8791,0.870701955933639,0.887498044066361,0.9747,0.97162211906897,0.97777788093103,0.9905,0.988904286405906,0.992095713594094,9905,9747,8791
"KS","Cauchy",128215,10000,20,20,2.5,0.5,1,0,0.9577,0.952515214593052,0.962884785406948,0.9936,0.992037025653953,0.995162974346047,0.9983,0.997622325883057,0.998977674116943,9983,9936,9577
"KS","Cauchy",25465986,10000,100,100,0,1,1,1,0.0059,0.00392718254677631,0.00787281745322369,0.0383,0.0345383770075139,0.0420616229924861,0.0813,0.0768042926461151,0.0857957073538849,813,383,59
"KS","Cauchy",42207714,10000,100,100,0,0.5,0.5,1,0.0053,0.00342961998908885,0.00717038001091115,0.0362,0.0325389655328582,0.0398610344671418,0.0752,0.0708619082491953,0.0795380917508047,752,362,53
"KS","Cauchy",35091,10000,100,100,0,2,2,1,0.0069,0.00476760873419909,0.00903239126580091,0.0385,0.0347289605093555,0.0422710394906445,0.0843,0.0797295780512326,0.0888704219487674,843,385,69
"KS","Cauchy",525463,10000,100,100,0.5,1,1,0,0.2878,0.276137484387062,0.299462515612938,0.5318,0.522019840387724,0.541580159612276,0.6471,0.639239006604889,0.654960993395111,6471,5318,2878
"KS","Cauchy",34628035,10000,100,100,0.5,0.5,0.5,0,0.9285,0.921862724669384,0.935137275330616,0.9832,0.980680979817151,0.985719020182849,0.9928,0.991409205275247,0.994190794724753,9928,9832,9285
"KS","Cauchy",63008,10000,100,100,0.5,2,2,0,0.0477,0.0422097522785856,0.0531902477214144,0.1546,0.147514150271534,0.161685849728466,0.2457,0.23861825092687,0.25278174907313,2457,1546,477
"KS","Cauchy",21587780,10000,100,100,0.5,0.5,2,0,0.9248,0.918006732917889,0.931593267082111,0.9927,0.991031498842194,0.994368501157806,0.9991,0.998606722124989,0.999593277875011,9991,9927,9248
"KS","Cauchy",85600,10000,100,100,0.5,1,2,0,0.3306,0.318481743594788,0.342718256405212,0.6189,0.609381121420756,0.628418878579244,0.7625,0.755499684186812,0.769500315813188,7625,6189,3306
"KS","Cauchy",22458,10000,100,100,1,1,1,0,0.9274,0.920715826491703,0.934084173508297,0.981,0.978324115428498,0.983675884571502,0.9928,0.991409205275247,0.994190794724753,9928,9810,9274
"KS","Cauchy",103174,10000,100,100,1,0.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Cauchy",717262,10000,100,100,1,2,2,0,0.2805,0.268927486645607,0.292072513354393,0.5256,0.515812853485188,0.535387146514812,0.6492,0.641349723561275,0.657050276438725,6492,5256,2805
"KS","Cauchy",29480624,10000,100,100,1,0.5,2,0,0.9948,0.992947255985924,0.996652744014076,0.9998,0.999522841861747,1.00007715813825,1,1,1,10000,9998,9948
"KS","Cauchy",297162,10000,100,100,1,1,2,0,0.781,0.770346472456205,0.791653527543795,0.9258,0.920662916650705,0.930937083349295,0.9627,0.959582791842405,0.965817208157595,9627,9258,7810
"KS","Cauchy",949900,10000,100,100,1.5,1,1,0,0.9995,0.998924132909779,1.00007586709022,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9995
"KS","Cauchy",171343930,10000,100,100,1.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Cauchy",343667850,10000,100,100,1.5,2,2,0,0.6759,0.663843351561974,0.687956648438026,0.8685,0.861876251118891,0.87512374888111,0.9249,0.920564559198424,0.929235440801577,9249,8685,6759
"KS","Cauchy",210117899,10000,100,100,1.5,0.5,2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Cauchy",222505,10000,100,100,1.5,1,2,0,0.9783,0.974546713191889,0.98205328680811,0.9964,0.995226118708557,0.997573881291443,0.9987,0.998107272464133,0.999292727535867,9987,9964,9783
"KS","Cauchy",23347,10000,100,100,2,1,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Cauchy",21107,10000,100,100,2,0.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Cauchy",1416600,10000,100,100,2,2,2,0,0.9286,0.92196701058509,0.93523298941491,0.9813,0.978644919005077,0.983955080994923,0.9916,0.990098678153226,0.993101321846774,9916,9813,9286
"KS","Cauchy",962692,10000,100,100,2,0.5,2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Cauchy",148581,10000,100,100,2,1,2,0,0.9991,0.998327547838281,0.999872452161719,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9991
"KS","Cauchy",11493639,10000,100,100,2.5,1,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Cauchy",5769207,10000,100,100,2.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Cauchy",3485268,10000,100,100,2.5,2,2,0,0.9915,0.989135160445527,0.993864839554473,0.9979,0.997002758753512,0.998797241246488,0.9995,0.999132258787495,0.999867741212506,9995,9979,9915
"KS","Cauchy",148199764,10000,100,100,2.5,0.5,2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
