"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Cucconi","Cauchy",1789708,1000,20,20,0,2,2,1,0.012,0.00313017698846251,0.0208698230115375,0.055,0.0408696369473392,0.0691303630526608,0.103,0.0871882209800731,0.118811779019927
"Cucconi","Cauchy",5832982,1000,20,20,0,0.5,2,1,0.455,0.414435156186668,0.495564843813332,0.699,0.670569931438704,0.727430068561296,0.804,0.783349909356131,0.824650090643869
"Cucconi","Cauchy",286834,1000,20,20,0,1,2,1,0.077,0.0552833880152543,0.0987166119847457,0.213,0.187623411387659,0.238376588612341,0.34,0.315357921962627,0.364642078037373
"Cucconi","Cauchy",68437,1000,20,20,0.5,1,1,0,0.024,0.0115325857923946,0.0364674142076054,0.11,0.0906068919458484,0.129393108054152,0.201,0.180153299806084,0.221846700193916
"Cucconi","Cauchy",152229063,1000,20,20,0.5,0.5,0.5,0,0.118,0.0917202545108215,0.144279745489179,0.306,0.277437480111167,0.334562519888833,0.418,0.392342429228393,0.443657570771607
"Cucconi","Cauchy",287518,1000,20,20,0.5,2,2,0,0.02,0.00859556184636876,0.0314044381536312,0.067,0.0515034759510399,0.0824965240489601,0.123,0.105914871297675,0.140085128702325
"Cucconi","Cauchy",13038376,1000,20,20,0.5,0.5,2,0,0.457,0.416420763312058,0.497579236687942,0.69,0.661334371801755,0.718665628198245,0.796,0.775037768162717,0.816962231837283
"Cucconi","Cauchy",120532,1000,20,20,0.5,1,2,0,0.093,0.0693412945963647,0.116658705403635,0.235,0.208720280823418,0.261279719176582,0.362,0.337000545807958,0.386999454192042
"Cucconi","Cauchy",42128,1000,20,20,1,1,1,0,0.145,0.116317769793825,0.173682230206175,0.309,0.280359912877228,0.337640087122772,0.413,0.387387027763748,0.438612972236252
"Cucconi","Cauchy",303578250,1000,20,20,1,0.5,0.5,0,0.498,0.457270189579425,0.538729810420575,0.738,0.710745708418673,0.765254291581327,0.834,0.814644563422645,0.853355436577355
"Cucconi","Cauchy",8309507,1000,20,20,1,2,2,0,0.033,0.0184482218290684,0.0475517781709316,0.128,0.107292899150291,0.148707100849709,0.207,0.185924025294782,0.228075974705218
"Cucconi","Cauchy",22609,1000,20,20,1,0.5,2,0,0.543,0.502420763312058,0.583579236687942,0.772,0.745996479746004,0.798003520253996,0.856,0.837736499086977,0.874263500913023
"Cucconi","Cauchy",15742488,1000,20,20,1,1,2,0,0.139,0.110819101577416,0.167180898422584,0.341,0.311618364402233,0.370381635597768,0.472,0.446031081531954,0.497968918468046
"Cucconi","Cauchy",88448622,1000,20,20,1.5,1,1,0,0.322,0.28393825971903,0.36006174028097,0.562,0.531248855474958,0.592751144525042,0.662,0.63739330721328,0.68660669278672
"Cucconi","Cauchy",104568645,1000,20,20,1.5,0.5,0.5,0,0.787,0.753647912109495,0.820352087890506,0.921,0.904281418289819,0.937718581710181,0.955,0.944216149835286,0.965783850164714
"Cucconi","Cauchy",21357,1000,20,20,1.5,2,2,0,0.076,0.0544131814798011,0.0975868185201988,0.216,0.190494080875216,0.241505919124784,0.321,0.296714150149212,0.345285849850788
"Cucconi","Cauchy",2591699,1000,20,20,1.5,0.5,2,0,0.653,0.614223626786199,0.691776373213801,0.848,0.825747654649453,0.870252345350547,0.92,0.905887472232091,0.934112527767909
"Cucconi","Cauchy",149899090,1000,20,20,1.5,1,2,0,0.252,0.216633105410624,0.287366894589376,0.466,0.435081411571678,0.496918588428323,0.612,0.586651195838857,0.637348804161143
"Cucconi","Cauchy",285991,1000,20,20,2,1,1,0,0.495,0.45427190029476,0.53572809970524,0.719,0.691140476989008,0.746859523010992,0.812,0.791675360952775,0.832324639047225
"Cucconi","Cauchy",5746976,1000,20,20,2,0.5,0.5,0,0.924,0.902413181479801,0.945586818520199,0.979,0.970112961438139,0.987887038561861,0.992,0.987365885802011,0.996634114197989
"Cucconi","Cauchy",79169377,1000,20,20,2,2,2,0,0.124,0.0971521968827243,0.150847803117276,0.296,0.267706396934996,0.324293603065004,0.426,0.400276702056307,0.451723297943693
"Cucconi","Cauchy",9507779,1000,20,20,2,0.5,2,0,0.74,0.704268734945429,0.775731265054571,0.892,0.872762422772085,0.911237577227915,0.949,0.937555835374524,0.960444164625476
"Cucconi","Cauchy",1463049,1000,20,20,2,1,2,0,0.38,0.340460287992956,0.419539712007044,0.631,0.601092236753645,0.660907763246355,0.728,0.704851863003689,0.751148136996311
"Cucconi","Cauchy",211492,1000,20,20,2.5,1,1,0,0.679,0.640969392574086,0.717030607425914,0.854,0.832114249969444,0.875885750030556,0.923,0.909132054846698,0.936867945153302
"Cucconi","Cauchy",139177,1000,20,20,2.5,0.5,0.5,0,0.967,0.952448221829068,0.981551778170932,0.991,0.985146519804424,0.996853480195576,0.997,0.994155053467111,0.999844946532889
"Cucconi","Cauchy",94940707,1000,20,20,2.5,2,2,0,0.232,0.197614886584802,0.266385113415198,0.453,0.422146897958228,0.483853102041772,0.585,0.55936886230822,0.61063113769178
"Cucconi","Cauchy",145939622,1000,20,20,2.5,0.5,2,0,0.837,0.806911371658781,0.867088628341219,0.949,0.935364399595177,0.962635600404823,0.977,0.969202110043416,0.984797889956584
"Cucconi","Cauchy",658686,1000,20,20,2.5,1,2,0,0.488,0.447281595705922,0.528718404294078,0.722,0.694231842236115,0.749768157763885,0.822,0.802101890695345,0.841898109304655
"Cucconi","Cauchy",36864446,1000,100,100,0,1,1,1,0.012,0.00313017698846251,0.0208698230115375,0.061,0.0461661533512039,0.0758338466487961,0.097,0.0816044345418884,0.112395565458112
"Cucconi","Cauchy",41972279,1000,100,100,0,0.5,0.5,1,0.01,0.00189480522134107,0.0181051947786589,0.053,0.0391142610711565,0.0668857389288435,0.096,0.0806755204460315,0.111324479553969
"Cucconi","Cauchy",570020,1000,100,100,0,2,2,1,0.007,0.000208440607931048,0.013791559392069,0.041,0.0287098466079548,0.0532901533920452,0.089,0.0741877820372842,0.103812217962716
"Cucconi","Cauchy",79770162,1000,100,100,0,0.5,2,1,1,1,1,1,1,1,1,1,1
"Cucconi","Cauchy",24160,1000,100,100,0,1,2,1,0.663,0.624494960492736,0.701505039507265,0.857,0.835302259988653,0.878697740011347,0.917,0.902648753755335,0.931351246244665
"Cucconi","Cauchy",1206502,1000,100,100,0.5,1,1,0,0.176,0.144978285369374,0.207021714630626,0.385,0.354840509951261,0.415159490048739,0.508,0.481993595704135,0.534006404295865
"Cucconi","Cauchy",984331,1000,100,100,0.5,0.5,0.5,0,0.81,0.778043061373154,0.841956938626846,0.92,0.903185073297811,0.936814926702189,0.951,0.939770660795265,0.962229339204735
