"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarEqual","Normal2Var",806279,10000,20,20,2,1,5,0,0.1881,0.178033197989825,0.198166802010175,0.4033,0.393685024071918,0.412914975928082,0.5268,0.518586823546252,0.535013176453748,5268,4033,1881
"TTest_VarEqual","Normal2Var",2778132,10000,20,20,2.5,1,5,0,0.3241,0.312043351561974,0.336156648438026,0.5767,0.567015991068901,0.586384008931099,0.7007,0.693166699016714,0.708233300983286,7007,5767,3241
"TTest_VarEqual","Normal2Var",26175,10000,20,20,1,1,3,0,0.115,0.106781994752983,0.123218005247017,0.28,0.271199621826308,0.288800378173692,0.4018,0.393735191251623,0.409864808748377,4018,2800,1150
"TTest_VarEqual","Normal2Var",7279678,10000,20,20,1,3,5,0,0.0334,0.0287714763463342,0.0380285236536658,0.1124,0.106209184322046,0.118590815677954,0.1913,0.184829808886379,0.197770191113621,1913,1124,334
"TTest_VarEqual","Normal2Var",19414408,10000,20,20,1,1,5,0,0.0499,0.0442910600484384,0.0555089399515616,0.152,0.144963190541161,0.159036809458839,0.2359,0.228915988069743,0.242884011930257,2359,1520,499
"TTest_VarEqual","Normal2Var",25200,10000,20,20,5,1,3,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"TTest_VarEqual","Normal2Var",796788,10000,20,20,5,3,5,0,0.8604,0.851472316844848,0.869327683155152,0.9568,0.952815181655132,0.960784818344868,0.9795,0.977168985081692,0.981831014918308,9795,9568,8604
"TTest_VarEqual","Normal2Var",307885,10000,20,20,5,1,5,0,0.9409,0.934825488852348,0.946974511147652,0.9886,0.986519255285625,0.990680744714375,0.9962,0.995187882417947,0.997212117582053,9962,9886,9409
"TTest_VarEqual","Normal2Var",19904649,10000,100,100,0.5,1,3,0,0.1541,0.144799491574514,0.163400508425486,0.3476,0.338266319480591,0.356933680519409,0.4721,0.463887814827467,0.480312185172533,4721,3476,1541
"TTest_VarEqual","Normal2Var",448147,10000,100,100,1.5,1,3,0,0.9837,0.980438097342431,0.986961902657569,0.9968,0.995693031978059,0.997906968021941,0.999,0.998480065487297,0.999519934512703,9990,9968,9837
"TTest_VarEqual","Normal2Var",76982,10000,100,100,2,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarEqual","Normal2Var",202846,10000,100,100,2.5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarEqual","Normal2Var",37132080,10000,100,100,0.5,3,5,0,0.0464,0.0409813890515831,0.0518186109484169,0.1418,0.134962640079563,0.148637359920437,0.224,0.217141632194173,0.230858367805827,2240,1418,464
"TTest_VarEqual","Normal2Var",30272,10000,100,100,1.5,3,5,0,0.4992,0.486320016486411,0.512079983513589,0.7288,0.72008624999615,0.73751375000385,0.8253,0.819053765606722,0.831546234393278,8253,7288,4992
"TTest_VarEqual","Normal2Var",10545277,10000,100,100,2,3,5,0,0.7962,0.785823305397794,0.806576694602206,0.9278,0.922727151945347,0.932872848054653,0.9649,0.961872664081412,0.967927335918588,9649,9278,7962
