"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","Cauchy",243573,10000,10,10,5,2,2,0,0.423,0.41027364748211,0.43572635251789,0.6869,0.677810408551403,0.695989591448597,0.7913,0.784615056982533,0.797984943017467,7913,6869,4230
"AD","Cauchy",15155086,10000,10,10,5,0.5,2,0,0.7248,0.713295197548811,0.736304802451189,0.9208,0.915507007026492,0.926092992973507,0.9661,0.963123013998861,0.969076986001139,9661,9208,7248
"AD","Cauchy",220268,10000,10,10,5,1,2,0,0.6086,0.596027482657451,0.621172517342549,0.8385,0.831287366442138,0.845712633557862,0.9103,0.905599388105706,0.915000611894294,9103,8385,6086
"AD","Cauchy",104058,10000,10,10,5,0.5,1,0,0.8958,0.887929809454204,0.903670190545796,0.9785,0.975657138406464,0.981342861593536,0.9927,0.991299650813984,0.994100349186016,9927,9785,8958
"AD","Cauchy",269679871,10000,10,10,0.5,0.5,1,0,0.0406,0.0355159626489114,0.0456840373510886,0.1476,0.140647820597942,0.154552179402058,0.2543,0.247136567813905,0.261463432186095,2543,1476,406
"AD","Cauchy",5293230,10000,10,10,1,0.5,1,0,0.1434,0.134371627497287,0.152428372502713,0.3543,0.344925307296684,0.363674692703316,0.4872,0.478977695609721,0.495422304390279,4872,3543,1434
"AD","Cauchy",42603,10000,10,10,1.5,0.5,1,0,0.3096,0.297690412321479,0.321509587678521,0.577,0.56731690569291,0.58668309430709,0.7119,0.704450158586925,0.719349841413075,7119,5770,3096
"AD","Cauchy",4736940,10000,10,10,2,0.5,1,0,0.4631,0.450255122962673,0.475944877037328,0.7333,0.724632209184711,0.741967790815289,0.832,0.825849899591064,0.838150100408936,8320,7333,4631
"AD","Cauchy",48190622,10000,10,10,2.5,0.5,1,0,0.6096,0.597033242275894,0.622166757724106,0.8409,0.833730921474108,0.848069078525892,0.9128,0.90815899581056,0.91744100418944,9128,8409,6096
"AD","Cauchy",31424,10000,20,20,0,1,1,1,0.0098,0.00726241640782102,0.012337583592179,0.0511,0.0467840466213825,0.0554159533786175,0.1031,0.0980977286449079,0.108102271355092,1031,511,98
"AD","Cauchy",2364085,10000,20,20,0,0.5,0.5,1,0.0109,0.00822527455888572,0.0135747254411143,0.0526,0.0482246214474174,0.0569753785525826,0.1057,0.100642393795008,0.110757606204992,1057,526,109
"AD","Cauchy",80865,10000,20,20,0,2,2,1,0.0099,0.00734963120325236,0.0124503687967476,0.0504,0.0461121291840355,0.0546878708159645,0.1013,0.0963366146349719,0.106263385365028,1013,504,99
"AD","Cauchy",423662,10000,20,20,0.5,1,1,0,0.0432,0.0379628101753158,0.0484371898246842,0.1384,0.131631741122682,0.145168258877318,0.2246,0.217735108515708,0.231464891484292,2246,1384,432
"AD","Cauchy",245028571,10000,20,20,0.5,0.5,0.5,0,0.1773,0.167461679300485,0.187138320699515,0.3913,0.381734390530154,0.400865609469846,0.5153,0.507078851682351,0.523521148317649,5153,3913,1773
"AD","Cauchy",1019836,10000,20,20,0.5,2,2,0,0.0157,0.0124977190820642,0.0189022809179358,0.0692,0.0642256389297117,0.0741743610702883,0.1353,0.129673380719226,0.140926619280774,1353,692,157
"AD","Cauchy",2325907,10000,20,20,0.5,0.5,2,0,0.1023,0.094493627189373,0.110106372810627,0.3906,0.381037456676051,0.400162543323949,0.5963,0.588228993786288,0.604371006213712,5963,3906,1023
"AD","Cauchy",106072027,10000,20,20,0.5,1,2,0,0.0317,0.0271868428538842,0.0362131571461158,0.1426,0.135746576432293,0.149453423567707,0.2571,0.249910774273054,0.264289225726945,2571,1426,317
"AD","Cauchy",400070,10000,20,20,1,1,1,0,0.1761,0.166287881418618,0.185912118581382,0.3981,0.388505677075353,0.407694322924647,0.5256,0.517385787746497,0.533814212253503,5256,3981,1761
"AD","Cauchy",117268182,10000,20,20,1,0.5,0.5,0,0.6451,0.632774277685514,0.657425722314486,0.855,0.848098823578548,0.861901176421452,0.9233,0.918922410822293,0.927677589177707,9233,8550,6451
"AD","Cauchy",635191,10000,20,20,1,2,2,0,0.0445,0.0391882061732782,0.0498117938267218,0.1459,0.138981083678032,0.152818916321968,0.2329,0.22594692941946,0.23985307058054,2329,1459,445
"AD","Cauchy",77073045,10000,20,20,1,0.5,2,0,0.2368,0.225848946805034,0.247751053194966,0.5749,0.565210580071108,0.584589419928891,0.748,0.740858047267028,0.755141952732972,7480,5749,2368
"AD","Cauchy",405730,10000,20,20,1,1,2,0,0.1015,0.0937207465608582,0.109279253439142,0.2786,0.26981311997997,0.28738688002003,0.4149,0.406795006539856,0.423004993460144,4149,2786,1015
"AD","Cauchy",5516055,10000,20,20,1.5,1,1,0,0.4155,0.402805265263047,0.428194734736953,0.6725,0.66330169368851,0.68169830631149,0.7827,0.775915881389025,0.789484118610975,7827,6725,4155
"AD","Cauchy",138249,10000,20,20,1.5,0.5,0.5,0,0.8988,0.891030954824159,0.906569045175841,0.9791,0.976296227707106,0.981903772292894,0.9921,0.990643678796427,0.993556321203573,9921,9791,8988
"AD","Cauchy",237626,10000,20,20,1.5,2,2,0,0.0937,0.0861932553326321,0.101206744667368,0.2492,0.240722023228529,0.257677976771471,0.3621,0.354194006266574,0.370005993733426,3621,2492,937
"AD","Cauchy",108881,10000,20,20,1.5,0.5,2,0,0.4434,0.430602789782779,0.456197210217221,0.7586,0.750212527226488,0.766987472773512,0.8761,0.870680260712361,0.881519739287639,8761,7586,4434
"AD","Cauchy",152305091,10000,20,20,1.5,1,2,0,0.2184,0.207756990469245,0.229043009530755,0.4676,0.45782059694059,0.47737940305941,0.6101,0.602076884720448,0.618123115279552,6101,4676,2184
"AD","Cauchy",1579045,10000,20,20,2,1,1,0,0.6445,0.63216960123039,0.65683039876961,0.8578,0.850954599054431,0.864645400945569,0.9212,0.916767936483713,0.925632063516287,9212,8578,6445
"AD","Cauchy",179272,10000,20,20,2,0.5,0.5,0,0.9723,0.968072477905049,0.976527522094951,0.9967,0.995575925048051,0.997824074951949,0.999,0.998480065487297,0.999519934512703,9990,9967,9723
"AD","Cauchy",266557,10000,20,20,2,2,2,0,0.1758,0.165994458114804,0.185605541885196,0.384,0.37446738529888,0.39353261470112,0.513,0.504777780519987,0.521222219480013,5130,3840,1758
"AD","Cauchy",1212001,10000,20,20,2,0.5,2,0,0.644,0.631665720333704,0.656334279666296,0.8839,0.877621241947136,0.890178758052864,0.9497,0.946104633944815,0.953295366055185,9497,8839,6440
"AD","Cauchy",403358,10000,20,20,2,1,2,0,0.3791,0.366602199701526,0.391597800298474,0.6537,0.644374512170959,0.663025487829041,0.7733,0.766412435682059,0.780187564317941,7733,6537,3791
"AD","Cauchy",27882092,10000,20,20,2.5,1,1,0,0.8031,0.792856378341462,0.813343621658538,0.9414,0.93679645941406,0.94600354058594,0.976,0.973482343756586,0.978517656243414,9760,9414,8031
"AD","Cauchy",12993772,10000,20,20,2.5,0.5,0.5,0,0.991,0.988567213816547,0.993432786183453,0.9993,0.998781614273345,0.999818385726655,0.9999,0.999735508225206,1.00006449177479,9999,9993,9910
"AD","Cauchy",93918394,10000,20,20,2.5,2,2,0,0.2931,0.281374462532811,0.304825537467189,0.5392,0.529430164567527,0.548969835432473,0.6648,0.657034607487165,0.672565392512835,6648,5392,2931
"AD","Cauchy",90591824,10000,20,20,2.5,0.5,2,0,0.7903,0.779813246373848,0.800786753626152,0.9475,0.943128551841781,0.951871448158219,0.9802,0.977908310122224,0.982491689877776,9802,9475,7903
"AD","Cauchy",245072,10000,20,20,2.5,1,2,0,0.5446,0.531771343095196,0.557428656904804,0.7965,0.788609015901676,0.804390984098324,0.8846,0.879344158325149,0.889855841674851,8846,7965,5446
"AD","Cauchy",1585763,10000,20,20,5,1,1,0,0.9938,0.991777953215908,0.995822046784092,0.9998,0.999522841861747,1.00007715813825,1,1,1,10000,9998,9938
"AD","Cauchy",1460096,10000,20,20,5,0.5,0.5,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"AD","Cauchy",23196292,10000,20,20,5,2,2,0,0.8084,0.798261895499624,0.818538104500376,0.9436,0.939078426556341,0.948121573443659,0.9742,0.971592046654578,0.976807953345422,9742,9436,8084
"AD","Cauchy",1682738,10000,20,20,5,0.5,2,0,0.9888,0.98608912745673,0.99151087254327,0.9992,0.998645850076604,0.999754149923396,0.9998,0.999567385133966,1.00003261486603,9998,9992,9888
"AD","Cauchy",4848332,10000,20,20,5,1,2,0,0.9498,0.944175113030034,0.955424886969966,0.9917,0.989921780885942,0.993478219114058,0.9973,0.996446387641974,0.998153612358026,9973,9917,9498
"AD","Cauchy",788386,10000,20,20,5,0.5,1,0,0.9989,0.998046107482698,0.999753892517302,0.9998,0.999522841861747,1.00007715813825,1,1,1,10000,9998,9989
"AD","Cauchy",115852,10000,20,20,0.5,0.5,1,0,0.0977,0.0900516347569892,0.105348365243011,0.2743,0.265555247209806,0.283044752790194,0.4155,0.407393307980478,0.423606692019522,4155,2743,977
"AD","Cauchy",48631,10000,20,20,1,0.5,1,0,0.3754,0.362926337683439,0.387873662316561,0.6482,0.638840373847124,0.657559626152876,0.7719,0.764997457880608,0.778802542119392,7719,6482,3754
"AD","Cauchy",247268,10000,20,20,1.5,0.5,1,0,0.6927,0.680814985042429,0.704585014957571,0.8923,0.88622397755488,0.89837602244512,0.9459,0.942178764567113,0.949621235432887,9459,8923,6927
"AD","Cauchy",64772,10000,20,20,2,0.5,1,0,0.8671,0.858355339720608,0.875844660279392,0.9687,0.96528710529175,0.97211289470825,0.9883,0.986531100208102,0.990068899791897,9883,9687,8671
