"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Normal2Var",200527,10000,20,20,1,1,3,0,0.2252,0.214439688155407,0.235960311844593,0.5543,0.544557961810709,0.564042038189291,0.7352,0.727941821545429,0.742458178454571,7352,5543,2252
"KS","Normal2Var",2630112,10000,20,20,1,3,5,0,0.0252,0.0211625803783981,0.0292374196216019,0.1273,0.120767148877129,0.133832851122871,0.242,0.23495455890735,0.24904544109265,2420,1273,252
"KS","Normal2Var",43891294,10000,20,20,1,1,5,0,0.2767,0.2651758296123,0.2882241703877,0.6837,0.674585382304803,0.692814617695197,0.8772,0.871800986701591,0.882599013298409,8772,6837,2767
"KS","Normal2Var",4701347,10000,20,20,5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",382583,10000,20,20,5,3,5,0,0.6958,0.683948654048626,0.707651345951373,0.9148,0.909328089986705,0.920271910013295,0.9656,0.962601916307773,0.968598083692227,9656,9148,6958
"KS","Normal2Var",439031,10000,20,20,5,1,5,0,0.9853,0.982199806742086,0.988400193257914,0.9991,0.998512264659562,0.999687735340438,0.9996,0.999271065806581,0.999928934193419,9996,9991,9853
"KS","Normal2Var",62903214,10000,100,100,0.5,1,3,0,0.9891,0.986425274558886,0.991774725441114,1,1,1,1,1,1,10000,10000,9891
"KS","Normal2Var",279052,10000,100,100,1.5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",1804166,10000,100,100,2,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",55421,10000,100,100,2.5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",2503404,10000,100,100,0.5,3,5,0,0.2152,0.204613644123529,0.225786355876471,0.525,0.515212257665835,0.534787742334165,0.7099,0.702434853159584,0.717365146840416,7099,5250,2152
"KS","Normal2Var",333679799,10000,100,100,1.5,3,5,0,0.6943,0.682432283568783,0.706167716431217,0.897,0.891042405975564,0.902957594024436,0.9545,0.951071851968719,0.957928148031281,9545,8970,6943
"KS","Normal2Var",2198394,10000,100,100,2,3,5,0,0.8821,0.873792665991235,0.890407334008765,0.9761,0.973106342042517,0.979093657957483,0.9904,0.988795990874839,0.992004009125161,9904,9761,8821
"KS","Normal2Var",32482,10000,100,100,2.5,3,5,0,0.9702,0.965819893947848,0.974580106052152,0.9968,0.995693031978059,0.997906968021941,0.9993,0.998864926265128,0.999735073734871,9993,9968,9702
"KS","Normal2Var",562676,10000,100,100,0.5,1,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",44352,10000,100,100,1.5,1,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",101205,10000,100,100,2,1,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",71748,10000,100,100,2.5,1,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",12765915,10000,100,100,1,1,3,0,0.9992,0.998471688672108,0.999928311327892,1,1,1,1,1,1,10000,10000,9992
"KS","Normal2Var",35792,10000,100,100,1,3,5,0,0.4278,0.415054990147371,0.440545009852629,0.7232,0.714430631441113,0.731969368558887,0.8503,0.844431016453356,0.856168983546644,8503,7232,4278
"KS","Normal2Var",2920566,10000,100,100,1,1,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",27310,10000,100,100,5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
