"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"BM","Cauchy",17706553,1000,20,20,0.5,1,2,0,0.016,0.00577876439250127,0.0262212356074987,0.087,0.0695316821187614,0.104468317881239,0.155,0.136173911070671,0.173826088929329
"BM","Cauchy",13720391,1000,20,20,1,1,1,0,0.171,0.140329477181111,0.201670522818889,0.367,0.337126166339085,0.396873833660915,0.478,0.452015455865072,0.503984544134928
"BM","Cauchy",38242474,1000,20,20,1,0.5,0.5,0,0.598,0.558059869713583,0.637940130286417,0.798,0.773115254600459,0.822884745399541,0.87,0.852505674419973,0.887494325580027
"BM","Cauchy",5146226,1000,20,20,1,2,2,0,0.043,0.0264752059566238,0.0595247940433761,0.116,0.096152253770264,0.135847746229736,0.208,0.186886503501315,0.229113496498685
"BM","Cauchy",327109,1000,20,20,1,0.5,2,0,0.098,0.0737806677363722,0.122219332263628,0.225,0.199117979213361,0.250882020786639,0.339,0.314375553285911,0.363624446714089
"BM","Cauchy",132926647,1000,20,20,1,1,2,0,0.07,0.0492156545063358,0.0907843454936642,0.197,0.172348295280042,0.221651704719958,0.283,0.259567496105303,0.306432503894697
"BM","Cauchy",16721,1000,20,20,1.5,1,1,0,0.393,0.353213431907539,0.432786568092461,0.609,0.578755034296597,0.639244965703403,0.718,0.694592626847508,0.741407373152492
"BM","Cauchy",153121017,1000,20,20,1.5,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Cauchy",521884,1000,20,20,1.5,2,2,0,0.111,0.0854107104455008,0.136589289554499,0.241,0.214491480041315,0.267508519958685,0.347,0.322237913844448,0.371762086155552
"BM","Cauchy",279594108,1000,20,20,1.5,0.5,2,0,0.225,0.190983629823275,0.259016370176725,0.412,0.381493432680814,0.442506567319186,0.533,0.507046977270942,0.558953022729058
"BM","Cauchy",550737,1000,20,20,1.5,1,2,0,0.179,0.147772015672093,0.210227984327907,0.346,0.316516231339939,0.375483768660061,0.463,0.437061578656846,0.488938421343154
"BM","Cauchy",11904317,1000,20,20,2,1,1,0,0.599,0.559076238160414,0.638923761839586,0.793,0.767888200351229,0.818111799648771,0.859,0.8408961042321,0.8771038957679
"BM","Cauchy",385341,1000,20,20,2,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Cauchy",433388,1000,20,20,2,2,2,0,0.159,0.129211926363996,0.188788073636004,0.349,0.319456681323859,0.378543318676141,0.482,0.456007126016925,0.507992873983075
"BM","Cauchy",2099407,1000,20,20,2,0.5,2,0,0.349,0.310171638311358,0.387828361688642,0.568,0.537297615050293,0.598702384949707,0.702,0.678207362359335,0.725792637640665
"BM","Cauchy",69054,1000,20,20,2,1,2,0,0.3,0.262670213501816,0.337329786498184,0.521,0.490037024458234,0.551962975541766,0.633,0.607927318177447,0.658072681822553
"BM","Cauchy",46655856,1000,20,20,2.5,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Cauchy",848667,1000,20,20,2.5,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Cauchy",1866560,1000,20,20,2.5,2,2,0,0.284,0.247266565162729,0.320733434837271,0.497,0.46601023676115,0.52798976323885,0.62,0.594750455647675,0.645249544352325
"BM","Cauchy",264563,1000,20,20,2.5,0.5,2,0,0.541,0.500407029419566,0.581592970580434,0.748,0.721090406290693,0.774909593709307,0.83,0.810459781794975,0.849540218205025
"BM","Cauchy",11383702,1000,20,20,2.5,1,2,0,0.421,0.380781470414944,0.461218529585056,0.641,0.611267439558625,0.670732560441375,0.756,0.733658017196319,0.778341982803681
"BM","Cauchy",121908,1000,100,100,0,1,1,1,0.011,0.00250349441805633,0.0194965055819437,0.055,0.0408696369473392,0.0691303630526608,0.095,0.0797471150474738,0.110252884952526
"BM","Cauchy",199713481,1000,100,100,0,0.5,0.5,1,0.006,-0.000290927440687899,0.0122909274406879,0.046,0.0330159800369839,0.0589840199630161,0.087,0.0723390903496747,0.101660909650325
"BM","Cauchy",21536992,1000,100,100,0,2,2,1,0.013,0.00377266875765262,0.0222273312423474,0.045,0.0321511572505536,0.0578488427494463,0.093,0.0778918593210481,0.108108140678952
"BM","Cauchy",76436,1000,100,100,0,0.5,2,1,0.011,0.00250349441805633,0.0194965055819437,0.05,0.0364916322229516,0.0635083677770484,0.095,0.0797471150474738,0.110252884952526
"BM","Cauchy",108567611,1000,100,100,0,1,2,1,0.015,0.00509830366048322,0.0249016963395168,0.053,0.0391142610711565,0.0668857389288435,0.109,0.0927886940077303,0.12521130599227
