"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","Normal2Var",1196033,10000,20,20,2.5,1,5,0,0.2483,0.237170991000959,0.259429008999041,0.4586,0.448833651392337,0.468366348607663,0.4586,0.450403243132854,0.466796756867146,4586,4586,2483
"Mood","Normal2Var",30743,10000,20,20,1,1,3,0,0.0729,0.0662031138872769,0.0795968861127231,0.1971,0.18930295371218,0.20489704628782,0.1971,0.190556050437009,0.203643949562991,1971,1971,729
"Mood","Normal2Var",78775,10000,20,20,1,3,5,0,0.0157,0.0124977190820642,0.0189022809179358,0.0673,0.0623893996340977,0.0722106003659023,0.0673,0.063178603264332,0.071421396735668,673,673,157
"Mood","Normal2Var",135022789,10000,20,20,1,1,5,0,0.048,0.0424933819807799,0.0535066180192201,0.1343,0.127616902664064,0.140983097335936,0.1343,0.128690971878768,0.139909028121232,1343,1343,480
"Mood","Normal2Var",506351,10000,20,20,5,1,3,0,0.9975,0.99621361100751,0.99878638899249,0.9998,0.999522841861747,1.00007715813825,0.9998,0.999567385133966,1.00003261486603,9998,9998,9975
"Mood","Normal2Var",717251,10000,20,20,5,3,5,0,0.5605,0.547714635707591,0.573285364292409,0.7985,0.790638035891713,0.806361964108287,0.7985,0.791901565837687,0.805098434162313,7985,7985,5605
"Mood","Normal2Var",1087291,10000,20,20,5,1,5,0,0.8307,0.821039570332756,0.840360429667244,0.9375,0.932755595400896,0.942244404599104,0.9375,0.93351808899718,0.94148191100282,9375,9375,8307
"Mood","Normal2Var",160571,10000,100,100,0.5,1,3,0,0.1294,0.120753858709363,0.138046141290637,0.2592,0.250611366773601,0.267788633226399,0.3465,0.338672189243194,0.354327810756806,3465,2592,1294
"Mood","Normal2Var",3323805,10000,100,100,1.5,1,3,0,0.9107,0.90335385905767,0.91804614094233,0.9665,0.962973211596934,0.970026788403066,0.9824,0.980236950724186,0.984563049275814,9824,9665,9107
"Mood","Normal2Var",26277321,10000,100,100,2,1,3,0,0.9945,0.992594848148414,0.996405151851586,0.9987,0.997993771446627,0.999406228553373,0.9995,0.999132258787495,0.999867741212506,9995,9987,9945
"Mood","Normal2Var",10323836,10000,100,100,2.5,1,3,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
