"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","ghEqual",4055488,10000,20,20,0,3,1,1,0,1,0.0124,0.00954932805320851,0.0152506719467915,0.0512,0.0468800532862546,0.0555199467137454,0.0994,0.09447818749005,0.10432181250995,994,512,124
"BM","ghEqual",10587993,10000,20,20,0,3,3,3,0,1,0.0152,0.012048323215922,0.018351676784078,0.0551,0.0506277631549302,0.0595722368450698,0.1049,0.0998593165509055,0.109940683449094,1049,551,152
"BM","ghEqual",16042014,10000,20,20,0,3,-3,-3,0,1,0.0124,0.00954932805320851,0.0152506719467915,0.0519,0.0475522273768745,0.0562477726231255,0.0971,0.0922292555565935,0.101970744443406,971,519,124
"BM","ghEqual",148172793,10000,20,20,0,3,-1,-1,0,1,0.0137,0.0107055941757577,0.0166944058242423,0.0515,0.0471681006890741,0.0558318993109259,0.0966,0.0917404673028058,0.101459532697194,966,515,137
"BM","ghEqual",223006527,10000,20,20,0.5,3,1,1,0,0,0.0393,0.0342946318104883,0.0443053681895117,0.1146,0.108356643430461,0.120843356569539,0.1853,0.178908504755867,0.191691495244133,1853,1146,393
"BM","ghEqual",239638,10000,20,20,0.5,3,3,3,0,0,0.095,0.0874467831912489,0.102553216808751,0.2293,0.221060501515165,0.237539498484835,0.3339,0.326142106226496,0.341657893773504,3339,2293,950
"BM","ghEqual",622245,10000,20,20,0.5,3,1,3,0,0,0.1476,0.138462849928724,0.156737150071276,0.3145,0.305399397912226,0.323600602087774,0.4267,0.418563864090751,0.434836135909249,4267,3145,1476
"BM","ghEqual",269328,10000,20,20,0.5,3,-1,1,0,0,0.1988,0.188519256613637,0.209080743386363,0.3774,0.367899169339558,0.386900830660442,0.4981,0.489875059384714,0.506324940615286,4981,3774,1988
"BM","ghEqual",332804,10000,20,20,0.5,3,-3,3,0,0,0.4925,0.479621449081515,0.505378550918485,0.7036,0.694649277633263,0.712550722366737,0.7896,0.782895099461319,0.796304900538681,7896,7036,4925
"BM","ghEqual",18826508,10000,20,20,0.5,3,-1,3,0,0,0.3474,0.335134527009225,0.359665472990775,0.5676,0.557889980381153,0.577310019618847,0.6773,0.669609476159729,0.684990523840271,6773,5676,3474
"BM","ghEqual",23958,10000,20,20,0.5,3,1,-3,0,0,0.0761,0.0692695287038811,0.0829304712961189,0.1879,0.180243607015415,0.195556392984585,0.2798,0.272415581258088,0.287184418741912,2798,1879,761
"BM","ghEqual",107726706,10000,20,20,1,3,1,1,0,0,0.1213,0.112889988835759,0.129710011164241,0.2704,0.261694337476424,0.279105662523576,0.3739,0.365940872043938,0.381859127956062,3739,2704,1213
"BM","ghEqual",190336,10000,20,20,1,3,3,3,0,0,0.2161,0.205497614906715,0.226702385093285,0.4129,0.403249839134273,0.422550160865727,0.528,0.519787906926977,0.536212093073024,5280,4129,2161
"BM","ghEqual",20507866,10000,20,20,1,3,1,3,0,0,0.2846,0.272976477129528,0.296223522870472,0.5092,0.499401659084437,0.518998340915563,0.6264,0.618442159860766,0.634357840139234,6264,5092,2846
"BM","ghEqual",35819787,10000,20,20,1,3,-1,1,0,0,0.39,0.377435561650436,0.402564438349564,0.6058,0.596221907744357,0.615378092255643,0.7108,0.703341718755343,0.718258281244657,7108,6058,3900
