"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","Normal",215234,10000,20,20,0.5,5,0,0.0137,0.0107055941757577,0.0166944058242423,0.0649,0.060071553227134,0.069728446772866,0.1211,0.115733295213916,0.126466704786084,1211,649,137
"AD","Normal",77546847,10000,20,20,1.5,5,0,0.0442,0.03890531037949,0.04949468962051,0.1443,0.137412684104704,0.151187315895296,0.2315,0.224561536054761,0.238438463945239,2315,1443,442
"AD","Normal",981278,10000,20,20,2,5,0,0.0752,0.0684067329178888,0.0819932670821112,0.2132,0.205172471665475,0.221227528334525,0.32,0.312326467306384,0.327673532693616,3200,2132,752
"AD","Normal",33067532,10000,20,20,2.5,5,0,0.1303,0.121628328819356,0.138971671180644,0.3188,0.309666177925447,0.327933822074553,0.4404,0.432233642083303,0.448566357916697,4404,3188,1303
"AD","Normal",31894,10000,20,20,1,1,0,0.6392,0.626829207958553,0.651570792041447,0.8503,0.843307168540169,0.857292831459831,0.912,0.907339798905627,0.916660201094374,9120,8503,6392
"AD","Normal",4032738,10000,20,20,1,3,0,0.0546,0.0487473846904154,0.0604526153095846,0.1695,0.16214621817294,0.17685378182706,0.2607,0.253478178149194,0.267921821850806,2607,1695,546
"AD","Normal",168827685,10000,20,20,1,5,0,0.0251,0.0210703924215596,0.0291296075784404,0.0979,0.0920752839507492,0.103724716049251,0.1667,0.160568956561581,0.172831043438419,1667,979,251
"AD","Normal",1786729,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",720694,10000,20,20,5,3,0,0.9903,0.987775268983908,0.992824731016092,0.9984,0.997616627451081,0.999183372548919,0.9998,0.999567385133966,1.00003261486603,9998,9984,9903
"AD","Normal",4076800,10000,20,20,5,5,0,0.637,0.624612921570217,0.649387078429783,0.8467,0.839638581863563,0.853761418136437,0.9107,0.906008850213458,0.915391149786542,9107,8467,6370
"AD","Normal",1521984,10000,100,100,0,1,1,0.0085,0.00613516044552701,0.010864839554473,0.0478,0.0436184806749699,0.0519815193250301,0.0931,0.0883200820284261,0.0978799179715739,931,478,85
"AD","Normal",301955,10000,100,100,0,3,1,0.009,0.00656721381654696,0.011432786183453,0.049,0.044768986901462,0.053231013098538,0.0976,0.092718083416362,0.102481916583638,976,490,90
"AD","Normal",6323962,10000,100,100,0,5,1,0.01,0.00743691236201335,0.0125630876379867,0.0498,0.0455363823068197,0.0540636176931803,0.1053,0.100250843795665,0.110349156204335,1053,498,100
"AD","Normal",149199477,10000,100,100,0.5,1,0,0.798,0.787657560500076,0.808342439499925,0.9244,0.919218602186437,0.929581397813563,0.961,0.957815363270717,0.964184636729283,9610,9244,7980
"AD","Normal",222494749,10000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",502195,10000,100,100,2,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",43120445,10000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",61711180,10000,100,100,0.5,3,0,0.0727,0.0660115852800162,0.0793884147199838,0.2071,0.19915753463373,0.21504246536627,0.3067,0.299114514362694,0.314285485637306,3067,2071,727
"AD","Normal",26496,10000,100,100,1.5,3,0,0.7942,0.783785618439027,0.804614381560973,0.9261,0.920972481539146,0.931227518460854,0.9613,0.958127140392048,0.964472859607952,9613,9261,7942
"AD","Normal",81464068,10000,100,100,2,3,0,0.9761,0.972165478113023,0.980034521886977,0.9952,0.993845335113912,0.996554664886088,0.9986,0.997984928362628,0.999215071637372,9986,9952,9761
"AD","Normal",55898,10000,100,100,2.5,3,0,0.9992,0.998471688672108,0.999928311327892,0.9998,0.999522841861747,1.00007715813825,0.9999,0.999735508225206,1.00006449177479,9999,9998,9992
"AD","Normal",191822,10000,100,100,0.5,5,0,0.0303,0.025884439183839,0.034715560816161,0.1067,0.100648863523469,0.112751136476531,0.1761,0.169834109058085,0.182365890941915,1761,1067,303
"AD","Normal",299824657,10000,100,100,1.5,5,0,0.2905,0.278805137314119,0.30219486268588,0.5291,0.519316611554763,0.538883388445237,0.6469,0.639037994620647,0.654762005379353,6469,5291,2905
"AD","Normal",3307402,10000,100,100,2,5,0,0.5444,0.531570882740326,0.557229117259674,0.7608,0.752438736484382,0.769161263515618,0.8437,0.837726354918329,0.849673645081671,8437,7608,5444
"AD","Normal",86793,10000,100,100,2.5,5,0,0.7993,0.78898250062084,0.80961749937916,0.9242,0.919012314298495,0.929387685701505,0.9586,0.955322937040718,0.961877062959282,9586,9242,7993
"AD","Normal",213184,10000,100,100,1,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",32124839,10000,100,100,1,3,0,0.3857,0.373161056779753,0.398238943220247,0.624,0.61450615168438,0.63349384831562,0.7299,0.722596014939844,0.737203985060155,7299,6240,3857
"AD","Normal",16029398,10000,100,100,1,5,0,0.1121,0.103972991892979,0.120227008107021,0.2789,0.27011021856208,0.28768978143792,0.3917,0.383670257909262,0.399729742090738,3917,2789,1121
"AD","Normal",405584,10000,100,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",982708,10000,100,100,5,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",3751253,10000,100,100,5,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",79022106,10000,10,100,0,1,1,0.0089,0.00648064499126234,0.0113193550087377,0.0496,0.0453445046193892,0.0538554953806108,0.1015,0.0965322702222872,0.106467729777713,1015,496,89
"AD","Normal",20583,10000,10,100,0,3,1,0.0089,0.00648064499126234,0.0113193550087377,0.0493,0.0450567240295262,0.0535432759704738,0.0995,0.0945759857484594,0.104424014251541,995,493,89
"AD","Normal",41479,10000,10,100,0,5,1,0.0084,0.00604899387398841,0.0107510061260116,0.0468,0.0426602795503078,0.0509397204496922,0.0962,0.0913494654006079,0.101050534599392,962,468,84
"AD","Normal",22041,10000,10,100,0.5,1,0,0.1266,0.118034172873485,0.135165827126515,0.3074,0.298356235463127,0.316443764536873,0.4273,0.419162407462107,0.435437592537893,4273,3074,1266
"AD","Normal",9082489,10000,10,100,1.5,1,0,0.9618,0.956862354271216,0.966737645728784,0.9919,0.990143158725895,0.993656841274105,0.997,0.996100348913467,0.997899651086533,9970,9919,9618
"AD","Normal",25986,10000,10,100,2,1,0,0.999,0.99818580467798,0.99981419532202,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9990
"AD","Normal",22836655,10000,10,100,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",106134504,10000,10,100,0.5,3,0,0.0203,0.0166672088434902,0.0239327911565098,0.0751,0.0699343684066322,0.0802656315933678,0.1373,0.131638505758391,0.142961494241609,1373,751,203
"AD","Normal",543151,10000,10,100,1.5,3,0,0.1229,0.114442415303245,0.131357584696755,0.3023,0.293298611496352,0.311301388503648,0.4198,0.411681496511308,0.427918503488692,4198,3023,1229
"AD","Normal",9989315,10000,10,100,2,3,0,0.2589,0.247616332230241,0.270183667769759,0.4851,0.475304352362483,0.494895647637517,0.6057,0.597660888029466,0.613739111970534,6057,4851,2589
"AD","Normal",222229976,10000,10,100,2.5,3,0,0.4313,0.418542158511838,0.444057841488162,0.6758,0.66662572676788,0.68497427323212,0.7798,0.772983425665637,0.786616574334363,7798,6758,4313
"AD","Normal",101654377,10000,10,100,0.5,5,0,0.0124,0.00954932805320851,0.0152506719467915,0.0553,0.0508201281105817,0.0597798718894183,0.1112,0.106028454870892,0.116371545129108,1112,553,124
"AD","Normal",24866,10000,10,100,1.5,5,0,0.0394,0.0343885285477353,0.0444114714522647,0.1356,0.128889679010479,0.142310320989521,0.2197,0.212888986608017,0.226511013391983,2197,1356,394
"AD","Normal",497005,10000,10,100,2,5,0,0.0767,0.0698448816281018,0.0835551183718982,0.2118,0.203791756599503,0.219808243400497,0.3135,0.305868587208493,0.321131412791507,3135,2118,767
"AD","Normal",862432,10000,10,100,2.5,5,0,0.1308,0.12211420471059,0.13948579528941,0.3022,0.293199455490605,0.311200544509395,0.4204,0.412279898752873,0.428520101247127,4204,3022,1308
"AD","Normal",78543,10000,10,100,1,1,0,0.6125,0.599950259126181,0.625049740873819,0.8226,0.815112665571887,0.830087334428113,0.8939,0.888833966435072,0.898966033564928,8939,8226,6125
"AD","Normal",1857630,10000,10,100,1,3,0,0.0532,0.0474186295350171,0.0589813704649828,0.1608,0.153600011029342,0.167999988970658,0.2503,0.243174094108762,0.257425905891238,2503,1608,532
"AD","Normal",87182,10000,10,100,1,5,0,0.0237,0.0197815737575072,0.0276184262424928,0.0902,0.0845852256613823,0.0958147743386177,0.1583,0.152295386984262,0.164304613015738,1583,902,237
"AD","Normal",10865897,10000,10,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Normal",21384,10000,10,100,5,3,0,0.9849,0.981758548196864,0.988041451803136,0.9976,0.996640952952979,0.998559047047021,0.9991,0.998606722124989,0.999593277875011,9991,9976,9849
"AD","Normal",38576668,10000,10,100,5,5,0,0.6131,0.600553838270767,0.625646161729233,0.8238,0.816332591372531,0.831267408627469,0.8954,0.890365686119132,0.900434313880868,8954,8238,6131
