"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Exp",25021,10000,10,10,1.5,1.5,0,0.9324,0.925932739731028,0.938867260268972,0.9887,0.986628296688809,0.990771703311191,0.9987,0.998107272464133,0.999292727535867,9987,9887,9324
"KS","Exp",45902,10000,10,10,2,1.5,0,0.993,0.990852320345675,0.995147679654325,0.9989,0.998250299171618,0.999549700828382,1,1,1,10000,9989,9930
"KS","Exp",211967,10000,10,10,2.5,1.5,0,0.9991,0.998327547838281,0.999872452161719,1,1,1,1,1,1,10000,10000,9991
"KS","Exp",7087117,10000,10,10,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",310085345,10000,20,20,0,1,1,0.0034,0.00190050245650618,0.00489949754349382,0.0325,0.0290244524172442,0.0359755475827558,0.0774,0.073004147538065,0.081795852461935,774,325,34
"KS","Exp",3514357,10000,20,20,0,0.5,1,0.0028,0.00143881858974786,0.00416118141025214,0.0317,0.0282660760844771,0.0351339239155229,0.0815,0.0769992562509764,0.0860007437490236,815,317,28
"KS","Exp",1987967,10000,20,20,0,0.25,1,0.0046,0.00285689482302874,0.00634310517697126,0.0341,0.0305428732226135,0.0376571267773865,0.0804,0.0759270565458973,0.0848729434541027,804,341,46
"KS","Exp",310472985,10000,20,20,0,0.125,1,0.0036,0.00205718458838914,0.00514281541161086,0.0323,0.0288348048087301,0.0357651951912699,0.0813,0.0768042926461151,0.0857957073538849,813,323,36
"KS","Exp",86130,10000,20,20,0.5,1,0,0.2536,0.24239256319606,0.26480743680394,0.5853,0.57564366439763,0.59495633560237,0.7444,0.737224543940933,0.751575456059067,7444,5853,2536
"KS","Exp",401840,10000,20,20,0.5,0.5,0,0.031,0.0265353379157656,0.0354646620842344,0.1509,0.143884152964153,0.157915847035847,0.2726,0.265274867641667,0.279925132358333,2726,1509,310
"KS","Exp",1095137,10000,20,20,0.5,0.25,0,0.007,0.00485232034567536,0.00914767965432464,0.0556,0.0511087062952419,0.0600912937047581,0.1224,0.117008558236464,0.127791441763536,1224,556,70
"KS","Exp",72559649,10000,20,20,0.5,0.125,0,0.0054,0.00351215225264748,0.00728784774735252,0.0392,0.0353962181480006,0.0430037818519994,0.0935,0.0887108811828923,0.0982891188171077,935,392,54
"KS","Exp",2894667,10000,20,20,1,1,0,0.8943,0.886380003900268,0.902219996099732,0.985,0.982617571826896,0.987382428173104,0.996,0.994961693513456,0.997038306486544,9960,9850,8943
"KS","Exp",123359457,10000,20,20,1,0.5,0,0.2561,0.244856334229554,0.267343665770446,0.5896,0.579958635882076,0.599241364117924,0.7494,0.742271251716949,0.756528748283051,7494,5896,2561
"KS","Exp",83093,10000,20,20,1,0.25,0,0.031,0.0265353379157656,0.0354646620842344,0.1577,0.150556594260886,0.164843405739114,0.2882,0.280749389118475,0.295650610881525,2882,1577,310
"KS","Exp",244935,10000,20,20,1,0.125,0,0.0089,0.00648064499126234,0.0113193550087377,0.055,0.0505315868588502,0.0594684131411498,0.1221,0.116714249148635,0.127485750851365,1221,550,89
"KS","Exp",13740805,10000,20,20,1.5,1,0,0.9963,0.99473598185987,0.99786401814013,0.9997,0.99936056896783,1.00003943103217,1,1,1,10000,9997,9963
"KS","Exp",44150,10000,20,20,1.5,0.5,0,0.6418,0.629448818439591,0.654151181560409,0.899,0.893093957006591,0.904906042993409,0.9567,0.953351905268847,0.960048094731153,9567,8990,6418
"KS","Exp",98167,10000,20,20,1.5,0.25,0,0.1046,0.0967164786886833,0.112483521311317,0.3503,0.34094954868332,0.35965045131668,0.5212,0.51298239661383,0.52941760338617,5212,3503,1046
"KS","Exp",114459723,10000,20,20,1.5,0.125,0,0.0169,0.0135796179373958,0.0202203820626042,0.0916,0.0859461748815161,0.0972538251184839,0.1874,0.180980678832844,0.193819321167156,1874,916,169
"KS","Exp",80964115,10000,20,20,2,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",31283255,10000,20,20,2,0.5,0,0.901,0.893306466459266,0.908693533540734,0.9866,0.984346388624807,0.988853611375193,0.9966,0.995642440427388,0.997557559572612,9966,9866,9010
"KS","Exp",66384,10000,20,20,2,0.25,0,0.2484,0.23726949061537,0.25953050938463,0.5919,0.58226695611645,0.60153304388355,0.754,0.746915338108985,0.761084661891015,7540,5919,2484
"KS","Exp",82828987,10000,20,20,2,0.125,0,0.0271,0.0229172240157063,0.0312827759842937,0.1493,0.142314874849969,0.156285125150031,0.2755,0.268150701302207,0.282849298697793,2755,1493,271
"KS","Exp",7248547,10000,20,20,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",29686100,10000,20,20,2.5,0.5,0,0.9792,0.975523680663063,0.982876319336937,0.9979,0.997002758753512,0.998797241246488,0.9996,0.999271065806581,0.999928934193419,9996,9979,9792
