"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","GLDLS",7968559,10000,10,10,2.5,2,-0.002,-0.1,0,0.9864,0.983416391438693,0.989383608561307,0.9985,0.997741464806354,0.999258535193646,0.9995,0.999132258787495,0.999867741212506,9995,9985,9864
"CVM","GLDLS",5741644,10000,10,10,2.5,2,-0.002,-0.2,0,0.9723,0.968072477905049,0.976527522094951,0.9967,0.995575925048051,0.997824074951949,0.9994,0.998997179837769,0.999802820162231,9994,9967,9723
"CVM","GLDLS",63241196,10000,20,20,0,2,-0.002,-0.002,1,0.0101,0.00752425890101043,0.0126757410989896,0.0488,0.0445771864817873,0.0530228135182127,0.1011,0.0961409650363226,0.106059034963677,1011,488,101
"CVM","GLDLS",108187545,10000,20,20,0,2,-0.02,-0.02,1,0.0104,0.00778668132697445,0.0130133186730255,0.0498,0.0455363823068197,0.0540636176931803,0.0995,0.0945759857484594,0.104424014251541,995,498,104
"CVM","GLDLS",233536297,10000,20,20,0,2,-0.05,-0.05,1,0.0099,0.00734963120325236,0.0124503687967476,0.0459,0.0417983427897495,0.0500016572102505,0.0939,0.0891017070034256,0.0986982929965744,939,459,99
"CVM","GLDLS",81182005,10000,20,20,0,2,-0.1,-0.1,1,0.011,0.00831316902087236,0.0136868309791276,0.0519,0.0475522273768745,0.0562477726231255,0.1009,0.095945321442114,0.105854678557886,1009,519,110
"CVM","GLDLS",165656595,10000,20,20,0,2,-0.2,-0.2,1,0.0098,0.00726241640782102,0.012337583592179,0.0493,0.0450567240295262,0.0535432759704738,0.0979,0.0930113990300931,0.102788600969907,979,493,98
"CVM","GLDLS",105524011,10000,20,20,0.5,2,-0.002,-0.002,0,0.1922,0.182049802919607,0.202350197080393,0.4096,0.399961505147877,0.419238494852123,0.5331,0.52489304257383,0.541306957426171,5331,4096,1922
"CVM","GLDLS",493060,10000,20,20,0.5,2,-0.002,-0.02,0,0.1892,0.179110647520245,0.199289352479755,0.4094,0.39976222658378,0.41903777341622,0.5379,0.52969866298321,0.54610133701679,5379,4094,1892
"CVM","GLDLS",24182,10000,20,20,0.5,2,-0.002,-0.05,0,0.1882,0.178131142564969,0.198268857435031,0.3932,0.383626172194906,0.402773827805094,0.521,0.512782257652037,0.529217742347963,5210,3932,1882
"CVM","GLDLS",20249283,10000,20,20,0.5,2,-0.002,-0.1,0,0.1743,0.164527499652649,0.184072500347351,0.3803,0.370784973938785,0.389815026061215,0.5076,0.499375950206887,0.515824049793113,5076,3803,1743
"CVM","GLDLS",97883207,10000,20,20,0.5,2,-0.002,-0.2,0,0.156,0.14665284636232,0.16534715363768,0.3553,0.34591935911861,0.36468064088139,0.481,0.47278094059533,0.48921905940467,4810,3553,1560
"CVM","GLDLS",14346531,10000,20,20,1,2,-0.002,-0.002,0,0.7875,0.776962184097262,0.798037815902738,0.9282,0.923140133301993,0.933259866698007,0.9612,0.958023208981944,0.964376791018056,9612,9282,7875
"CVM","GLDLS",1612693,10000,20,20,1,2,-0.002,-0.02,0,0.7784,0.767701271901252,0.789098728098748,0.9254,0.920250201544293,0.930549798455707,0.9635,0.960415120574581,0.966584879425419,9635,9254,7784
"CVM","GLDLS",6378915,10000,20,20,1,2,-0.002,-0.05,0,0.7633,0.752350542081074,0.774249457918926,0.9148,0.909328089986705,0.920271910013295,0.9566,0.953248216526221,0.959951783473779,9566,9148,7633
"CVM","GLDLS",3098659,10000,20,20,1,2,-0.002,-0.1,0,0.7411,0.729816332230241,0.752383667769759,0.9044,0.898636778725192,0.910163221274808,0.949,0.945381037386557,0.952618962613443,9490,9044,7411
"CVM","GLDLS",22945707,10000,20,20,1,2,-0.002,-0.2,0,0.681,0.668993546141912,0.693006453858088,0.8741,0.867597962101741,0.880602037898259,0.9295,0.925289000810452,0.933710999189548,9295,8741,6810
"CVM","GLDLS",1547741,10000,20,20,1.5,2,-0.002,-0.002,0,0.9909,0.988453859100758,0.993346140899242,0.9987,0.997993771446627,0.999406228553373,0.9996,0.999271065806581,0.999928934193419,9996,9987,9909
"CVM","GLDLS",125788,10000,20,20,1.5,2,-0.002,-0.02,0,0.9902,0.987662416407821,0.992737583592179,0.9985,0.997741464806354,0.999258535193646,0.9995,0.999132258787495,0.999867741212506,9995,9985,9902
"CVM","GLDLS",45270,10000,20,20,1.5,2,-0.002,-0.05,0,0.9858,0.982752214224599,0.988847785775401,0.9972,0.996164318492199,0.998235681507801,0.9989,0.99835471537618,0.99944528462382,9989,9972,9858
"CVM","GLDLS",320069,10000,20,20,1.5,2,-0.002,-0.1,0,0.9845,0.981317857909898,0.987682142090102,0.9979,0.997002758753512,0.998797241246488,0.9993,0.998864926265128,0.999735073734871,9993,9979,9845
"CVM","GLDLS",1161125,10000,20,20,1.5,2,-0.002,-0.2,0,0.9671,0.962505063655502,0.971694936344497,0.9941,0.992598943242112,0.995601056757888,0.9981,0.997383642634591,0.998816357365409,9981,9941,9671
"CVM","GLDLS",18725,10000,20,20,2,2,-0.002,-0.002,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"CVM","GLDLS",6534180,10000,20,20,2,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",8210447,10000,20,20,2,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",9242151,10000,20,20,2,2,-0.002,-0.1,0,0.9998,0.999435735018296,1.0001642649817,1,1,1,1,1,1,10000,10000,9998
"CVM","GLDLS",33998742,10000,20,20,2,2,-0.002,-0.2,0,0.999,0.99818580467798,0.99981419532202,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9990
"CVM","GLDLS",22809,10000,20,20,2.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",57462970,10000,20,20,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",1773947,10000,20,20,2.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",2470131,10000,20,20,2.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",299133,10000,20,20,2.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",123616711,10000,100,100,0,2,-0.002,-0.002,1,0.0099,0.00734963120325236,0.0124503687967476,0.0481,0.0439060401072018,0.0522939598927982,0.1012,0.0962387890860799,0.10616121091392,1012,481,99
"CVM","GLDLS",53401,10000,100,100,0,2,-0.02,-0.02,1,0.0109,0.00822527455888572,0.0135747254411143,0.0518,0.0474561889403889,0.0561438110596111,0.0999,0.0949671940952461,0.104832805904754,999,518,109
"CVM","GLDLS",277160349,10000,100,100,0,2,-0.05,-0.05,1,0.0086,0.00622141025800917,0.0109785897419908,0.0493,0.0450567240295262,0.0535432759704738,0.101,0.0960431424876743,0.105956857512326,1010,493,86
"CVM","GLDLS",50905,10000,100,100,0,2,-0.1,-0.1,1,0.0091,0.00665385910075809,0.0115461408992419,0.0469,0.042756076518274,0.051043923481726,0.0952,0.090372073248443,0.100027926751557,952,469,91
"CVM","GLDLS",2040902,10000,100,100,0,2,-0.2,-0.2,1,0.0105,0.00787428002833509,0.0131257199716649,0.0492,0.0449608068058179,0.0534391931941821,0.0992,0.0942825955815695,0.104117404418431,992,492,105
"CVM","GLDLS",1668684,10000,100,100,0.5,2,-0.002,-0.002,0,0.9186,0.91155596862546,0.92564403137454,0.9781,0.975231401557833,0.980968598442166,0.9901,0.988471367752077,0.991728632247923,9901,9781,9186
"CVM","GLDLS",3761444,10000,100,100,0.5,2,-0.002,-0.02,0,0.9134,0.906155051405694,0.920644948594306,0.9748,0.971728050287912,0.977871949712088,0.9884,0.98663858672436,0.99016141327564,9884,9748,9134
"CVM","GLDLS",2295532,10000,100,100,0.5,2,-0.002,-0.05,0,0.904,0.896411329600095,0.911588670399905,0.9738,0.970669298926822,0.976930701073178,0.9873,0.985457988525341,0.989142011474659,9873,9738,9040
"CVM","GLDLS",28951915,10000,100,100,0.5,2,-0.002,-0.1,0,0.8858,0.877606928430147,0.893993071569853,0.9664,0.962868134384437,0.969931865615564,0.9837,0.981616991509433,0.985783008490567,9837,9664,8858
"CVM","GLDLS",354628900,10000,100,100,0.5,2,-0.002,-0.2,0,0.8421,0.832706687791307,0.851493312208693,0.949,0.944688044545685,0.953311955454315,0.9745,0.971906854328354,0.977093145671646,9745,9490,8421
"CVM","GLDLS",195975960,10000,100,100,1,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",33865904,10000,100,100,1,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",6876427,10000,100,100,1,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",220742,10000,100,100,1,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",1504826,10000,100,100,1,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",2694291,10000,100,100,1.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",29603,10000,100,100,1.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",11948488,10000,100,100,1.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",14846021,10000,100,100,1.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",86174,10000,100,100,1.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",1655390,10000,100,100,2,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",2198773,10000,100,100,2,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",1690687,10000,100,100,2,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",7389375,10000,100,100,2,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",8439052,10000,100,100,2,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",3064457,10000,100,100,2.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",63973,10000,100,100,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",980232,10000,100,100,2.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",87696383,10000,100,100,2.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",169549085,10000,100,100,2.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","GLDLS",17622835,10000,10,100,0,2,-0.002,-0.002,1,0.0099,0.00734963120325236,0.0124503687967476,0.0509,0.0465920470719378,0.0552079529280622,0.1014,0.0964344416810292,0.106365558318971,1014,509,99
"CVM","GLDLS",98265169,10000,10,100,0,2,-0.02,-0.02,1,0.0101,0.00752425890101043,0.0126757410989896,0.0497,0.0454404410761676,0.0539595589238324,0.1002,0.0952606163769252,0.105139383623075,1002,497,101
"CVM","GLDLS",58380,10000,10,100,0,2,-0.05,-0.05,1,0.01,0.00743691236201335,0.0125630876379867,0.0477,0.0435226376032717,0.0518773623967283,0.0967,0.0918382217719465,0.101561778228053,967,477,100
