"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarEqual","Cauchy",58887989,1000,10,10,2.5,1,2,0,0.033,0.0184482218290684,0.0475517781709316,0.145,0.123176563973563,0.166823436026437,0.227,0.205209430645919,0.248790569354081
"Bayes_TTest_VarEqual","Cauchy",64297,1000,20,20,0,1,1,1,0.002,-0.00163936929920556,0.00563936929920556,0.017,0.00898769835814952,0.0250123016418505,0.058,0.0458407902436055,0.0701592097563945
"Bayes_TTest_VarEqual","Cauchy",214903,1000,20,20,0,0.5,0.5,1,0.003,-0.00145506520895037,0.00745506520895037,0.018,0.00975960428134668,0.0262403957186533,0.053,0.0413458976847206,0.0646541023152794
"Bayes_TTest_VarEqual","Cauchy",25723199,1000,20,20,0,2,2,1,0.002,-0.00163936929920556,0.00563936929920556,0.017,0.00898769835814952,0.0250123016418505,0.044,0.0333310621147183,0.0546689378852817
"Bayes_TTest_VarEqual","Cauchy",168059,1000,20,20,0,0.5,2,1,0.002,-0.00163936929920556,0.00563936929920556,0.019,0.0105381099983514,0.0274618900016486,0.059,0.046742928491071,0.071257071508929
"Bayes_TTest_VarEqual","Cauchy",196213,1000,20,20,0,1,2,1,0.003,-0.00145506520895037,0.00745506520895037,0.028,0.0177748845678887,0.0382251154321113,0.079,0.0649683332075266,0.0930316667924734
"Bayes_TTest_VarEqual","Cauchy",125481912,1000,20,20,0.5,1,1,0,0.004,-0.00114168567534034,0.00914168567534034,0.027,0.0169539722476991,0.0370460277523009,0.077,0.0631320548466977,0.0908679451533023
"Bayes_TTest_VarEqual","Cauchy",219937,1000,20,20,0.5,0.5,0.5,0,0.017,0.00646954641356793,0.0275304535864321,0.076,0.0595752467781096,0.0924247532218904,0.133,0.11533550315534,0.15066449684466
"Bayes_TTest_VarEqual","Cauchy",36273,1000,20,20,0.5,2,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.02,0.011322710100498,0.028677289899502,0.056,0.0440395942543741,0.0679604057456259
"Bayes_TTest_VarEqual","Cauchy",75806956,1000,20,20,0.5,0.5,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.033,0.0219279948699434,0.0440720051300566,0.088,0.0732631501873704,0.10273684981263
"Bayes_TTest_VarEqual","Cauchy",5306725,1000,20,20,0.5,1,2,0,0.006,-0.000290927440687899,0.0122909274406879,0.025,0.0153232753475156,0.0346767246524844,0.077,0.0631320548466977,0.0908679451533023
"Bayes_TTest_VarEqual","Cauchy",5367394,1000,20,20,1,1,1,0,0.015,0.00509830366048322,0.0249016963395168,0.062,0.0470530240650491,0.0769469759349509,0.127,0.10967892330786,0.14432107669214
"Bayes_TTest_VarEqual","Cauchy",330960491,1000,20,20,1,0.5,0.5,0,0.1,0.0755619182422188,0.124438081757781,0.229,0.202956400893886,0.255043599106114,0.3,0.276161685252518,0.323838314747482
"Bayes_TTest_VarEqual","Cauchy",968052,1000,20,20,1,2,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.025,0.0153232753475156,0.0346767246524844,0.066,0.0530844974894509,0.0789155025105491
"Bayes_TTest_VarEqual","Cauchy",89229,1000,20,20,1,0.5,2,0,0.012,0.00313017698846251,0.0208698230115375,0.051,0.0373643995951773,0.0646356004048227,0.111,0.0946590134638388,0.127340986536161
"Bayes_TTest_VarEqual","Cauchy",20282,1000,20,20,1,1,2,0,0.01,0.00189480522134107,0.0181051947786589,0.063,0.0479409997144565,0.0780590002855435,0.111,0.0946590134638388,0.127340986536161
"Bayes_TTest_VarEqual","Cauchy",3252385,1000,20,20,1.5,1,1,0,0.034,0.0192370251323116,0.0487629748676884,0.125,0.104501829349915,0.145498170650085,0.207,0.185924025294782,0.228075974705218
"Bayes_TTest_VarEqual","Cauchy",648863,1000,20,20,1.5,0.5,0.5,0,0.189,0.157107601070098,0.220892398929902,0.331,0.301833579883709,0.360166420116291,0.414,0.388377890619623,0.439622109380377
"Bayes_TTest_VarEqual","Cauchy",62045,1000,20,20,1.5,2,2,0,0.008,0.000743174362298623,0.0152568256377014,0.045,0.0321511572505536,0.0578488427494463,0.102,0.0862563960320389,0.117743603967961
"Bayes_TTest_VarEqual","Cauchy",249008037,1000,20,20,1.5,0.5,2,0,0.033,0.0184482218290684,0.0475517781709316,0.102,0.083241663357323,0.120758336642677,0.159,0.139977724716139,0.178022275283861
"Bayes_TTest_VarEqual","Cauchy",3745476,1000,20,20,1.5,1,2,0,0.015,0.00509830366048322,0.0249016963395168,0.07,0.0541858240809077,0.0858141759190924,0.136,0.118168321402627,0.153831678597373
"Bayes_TTest_VarEqual","Cauchy",610287,1000,20,20,2,1,1,0,0.085,0.062282221094482,0.107717778905518,0.193,0.168539152884661,0.217460847115339,0.285,0.261517661011411,0.308482338988589
"Bayes_TTest_VarEqual","Cauchy",30703620,1000,20,20,2,0.5,0.5,0,0.325,0.28684605708449,0.36315394291551,0.464,0.433090110216955,0.494909889783045,0.556,0.530153914114513,0.581846085885488
"Bayes_TTest_VarEqual","Cauchy",20869671,1000,20,20,2,2,2,0,0.021,0.00931989217584016,0.0326801078241598,0.076,0.0595752467781096,0.0924247532218904,0.129,0.111563077594512,0.146436922405488
"Bayes_TTest_VarEqual","Cauchy",62622172,1000,20,20,2,0.5,2,0,0.058,0.0389591949346673,0.0770408050653327,0.143,0.121302259988653,0.164697740011347,0.225,0.203277589696928,0.246722410303072
"Bayes_TTest_VarEqual","Cauchy",15767823,1000,20,20,2,1,2,0,0.053,0.03475017169352,0.07124982830648,0.118,0.098004541475625,0.137995458524375,0.178,0.158101890695345,0.197898109304655
"Bayes_TTest_VarEqual","Cauchy",186560072,1000,20,20,2.5,1,1,0,0.171,0.140329477181111,0.201670522818889,0.307,0.278411466606347,0.335588533393653,0.386,0.360675333188766,0.411324666811234
"Bayes_TTest_VarEqual","Cauchy",34283151,1000,20,20,2.5,0.5,0.5,0,0.434,0.393626263985804,0.474373736014196,0.57,0.539314886997112,0.600685113002888,0.643,0.618076702770801,0.667923297229199
"Bayes_TTest_VarEqual","Cauchy",80881970,1000,20,20,2.5,2,2,0,0.036,0.0208247579820287,0.0511752420179712,0.115,0.0952268151275522,0.134773184872448,0.177,0.157145797226406,0.196854202773594
"Bayes_TTest_VarEqual","Cauchy",164429,1000,20,20,2.5,0.5,2,0,0.086,0.0631614681578697,0.10883853184213,0.196,0.171395636679646,0.220604363320354,0.298,0.274207362359335,0.321792637640665
"Bayes_TTest_VarEqual","Cauchy",43560945,1000,20,20,2.5,1,2,0,0.061,0.0415040872615822,0.0804959127384178,0.176,0.152396521476698,0.199603478523302,0.256,0.233297569610282,0.278702430389718
"Bayes_TTest_VarEqual","Cauchy",65553394,1000,100,100,0,1,1,1,0.001,-0.0015747116778389,0.0035747116778389,0.023,0.0137088970730058,0.0322911029269942,0.063,0.0503611961889188,0.0756388038110812
"Bayes_TTest_VarEqual","Cauchy",2458911,1000,100,100,0,0.5,0.5,1,0.001,-0.0015747116778389,0.0035747116778389,0.021,0.0121129614381393,0.0298870385618608,0.063,0.0503611961889188,0.0756388038110812
"Bayes_TTest_VarEqual","Cauchy",2455532,1000,100,100,0,2,2,1,0,0,0,0.016,0.00822297290733792,0.0237770270926621,0.054,0.0422426796803013,0.0657573203196987
"Bayes_TTest_VarEqual","Cauchy",53716232,1000,100,100,0,0.5,2,1,0.004,-0.00114168567534034,0.00914168567534034,0.024,0.0145139239724742,0.0334860760275258,0.064,0.0512680825638869,0.0767319174361131
"Bayes_TTest_VarEqual","Cauchy",129004,1000,100,100,0,1,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.022,0.0129084728675541,0.0310915271324459,0.074,0.060382817578515,0.087617182421485
"Bayes_TTest_VarEqual","Cauchy",47626448,1000,100,100,0.5,1,1,0,0.007,0.000208440607931048,0.013791559392069,0.041,0.0287098466079548,0.0532901533920452,0.088,0.0732631501873704,0.10273684981263
"Bayes_TTest_VarEqual","Cauchy",56965,1000,100,100,0.5,0.5,0.5,0,0.022,0.0100511357687854,0.0339488642312146,0.077,0.0604764908811718,0.0935235091188282,0.138,0.120058486410004,0.155941513589996
"Bayes_TTest_VarEqual","Cauchy",16348431,1000,100,100,0.5,2,2,0,0.002,-0.00163936929920556,0.00563936929920556,0.02,0.011322710100498,0.028677289899502,0.07,0.0567273880679047,0.0832726119320954
"Bayes_TTest_VarEqual","Cauchy",134416,1000,100,100,0.5,0.5,2,0,0.006,-0.000290927440687899,0.0122909274406879,0.022,0.0129084728675541,0.0310915271324459,0.067,0.0539939887446227,0.0800060112553773
"Bayes_TTest_VarEqual","Cauchy",49819,1000,100,100,0.5,1,2,0,0.003,-0.00145506520895037,0.00745506520895037,0.019,0.0105381099983514,0.0274618900016486,0.066,0.0530844974894509,0.0789155025105491
"Bayes_TTest_VarEqual","Cauchy",126302427,1000,100,100,1,1,1,0,0.022,0.0100511357687854,0.0339488642312146,0.084,0.0668073250946806,0.101192674905319,0.15,0.131425334794403,0.168574665205597
"Bayes_TTest_VarEqual","Cauchy",1321022,1000,100,100,1,0.5,0.5,0,0.117,0.0908170159390493,0.143182984060951,0.232,0.205837413705828,0.258162586294172,0.326,0.301616016791754,0.350383983208246
"Bayes_TTest_VarEqual","Cauchy",100921322,1000,100,100,1,2,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.039,0.0270008614309193,0.0509991385690807,0.089,0.0741877820372842,0.103812217962716
"Bayes_TTest_VarEqual","Cauchy",3103621,1000,100,100,1,0.5,2,0,0.014,0.00442919794876103,0.023570802051239,0.053,0.0391142610711565,0.0668857389288435,0.124,0.106855343118044,0.141144656881956
"Bayes_TTest_VarEqual","Cauchy",3331798,1000,100,100,1,1,2,0,0.01,0.00189480522134107,0.0181051947786589,0.054,0.0399912779169547,0.0680087220830453,0.097,0.0816044345418884,0.112395565458112
