"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarUnequal","Exp",33667,10000,10,10,0.5,1.5,0,0.1902,0.180090259661134,0.200309740338866,0.4143,0.404645025079183,0.423954974920817,0.5419,0.533703930664948,0.550096069335052,5419,4143,1902
"TTest_VarUnequal","Exp",265382,10000,10,10,1,1.5,0,0.7002,0.688397534865593,0.712002465134407,0.8684,0.861774114550462,0.875025885449538,0.924,0.919640781037846,0.928359218962154,9240,8684,7002
"TTest_VarUnequal","Exp",2147065,10000,10,10,1.5,1.5,0,0.936,0.929695164351833,0.942304835648167,0.9838,0.981325616632452,0.986274383367548,0.9929,0.991518827788444,0.994281172211556,9929,9838,9360
"TTest_VarUnequal","Exp",4393242,10000,10,10,2,1.5,0,0.9872,0.984304300995266,0.990095699004734,0.9983,0.997492558498961,0.999107441501039,0.9995,0.999132258787495,0.999867741212506,9995,9983,9872
"TTest_VarUnequal","Exp",180274,10000,10,10,2.5,1.5,0,0.9975,0.99621361100751,0.99878638899249,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9975
"TTest_VarUnequal","Exp",175027148,10000,10,10,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",2612838,10000,20,20,0,1,1,0.0061,0.0040942254270472,0.0081057745729528,0.0432,0.0392151816551316,0.0471848183448684,0.0964,0.0915449631523952,0.101255036847605,964,432,61
"TTest_VarUnequal","Exp",465407,10000,20,20,0,0.5,1,0.0083,0.00596291202152422,0.0106370879784758,0.0443,0.0402670881683826,0.0483329118316174,0.0934,0.0886131788883331,0.0981868211116669,934,443,83
"TTest_VarUnequal","Exp",23955,10000,20,20,0,0.25,1,0.0059,0.00392718254677631,0.00787281745322369,0.0473,0.0431393160810271,0.0514606839189729,0.0986,0.0936958568720825,0.103504143127917,986,473,59
"TTest_VarUnequal","Exp",175800411,10000,20,20,0,0.125,1,0.0067,0.00459852862937988,0.00880147137062012,0.0442,0.0401714318104816,0.0482285681895185,0.0955,0.0906652739168206,0.100334726083179,955,442,67
"TTest_VarUnequal","Exp",30726137,10000,20,20,0.5,1,0,0.1702,0.160519175393589,0.179880824606411,0.3625,0.353077846583716,0.371922153416284,0.485,0.476778702083156,0.493221297916844,4850,3625,1702
"TTest_VarUnequal","Exp",40751622,10000,20,20,0.5,0.5,0,0.0344,0.0297051285160013,0.0390948714839987,0.1271,0.120571534801012,0.133628465198988,0.2173,0.210515881389025,0.224084118610975,2173,1271,344
"TTest_VarUnequal","Exp",336882586,10000,20,20,0.5,0.25,0,0.0121,0.00928359545455842,0.0149164045454416,0.0659,0.0610370985913346,0.0707629014086654,0.1322,0.126628252167955,0.137771747832045,1322,659,121
"TTest_VarUnequal","Exp",52011313,10000,20,20,0.5,0.125,0,0.0061,0.0040942254270472,0.0081057745729528,0.0465,0.0423729199135466,0.0506270800864534,0.1023,0.0973149521453877,0.107285047854612,1023,465,61
"TTest_VarUnequal","Exp",140595,10000,20,20,1,1,0,0.6887,0.676772471566655,0.700627528433345,0.8595,0.852688901295679,0.866311098704321,0.9147,0.910105060924694,0.919294939075306,9147,8595,6887
"TTest_VarUnequal","Exp",650163,10000,20,20,1,0.5,0,0.1588,0.149384990994871,0.168215009005129,0.3619,0.352481218215586,0.371318781784414,0.4838,0.475579318271585,0.492020681728415,4838,3619,1588
"TTest_VarUnequal","Exp",286061370,10000,20,20,1,0.25,0,0.0391,0.034106864703481,0.044093135296519,0.1343,0.127616902664064,0.140983097335936,0.2177,0.210911375581697,0.224488624418303,2177,1343,391
"TTest_VarUnequal","Exp",56896602,10000,20,20,1,0.125,0,0.012,0.00919511568409676,0.0148048843159032,0.0663,0.0614234069546865,0.0711765930453135,0.1282,0.122700561531583,0.133699438468417,1282,663,120
"TTest_VarUnequal","Exp",75961482,10000,20,20,1.5,1,0,0.9502,0.944596388174677,0.955803611825323,0.9861,0.98380531038125,0.98839468961875,0.9947,0.993505599721293,0.995894400278707,9947,9861,9502
"TTest_VarUnequal","Exp",304285,10000,20,20,1.5,0.5,0,0.4306,0.417844672823073,0.443355327176927,0.6613,0.652023953201412,0.670576046798588,0.7641,0.757115988069743,0.771084011930257,7641,6613,4306
"TTest_VarUnequal","Exp",82366561,10000,20,20,1.5,0.25,0,0.0859,0.078681627412682,0.093118372587318,0.2376,0.229257989477446,0.245942010522554,0.3452,0.337379119840555,0.353020880159445,3452,2376,859
"TTest_VarUnequal","Exp",248806,10000,20,20,1.5,0.125,0,0.0225,0.0186797173088893,0.0263202826911107,0.0938,0.0880856147058848,0.0995143852941152,0.1681,0.161948439194808,0.174251560805192,1681,938,225
"TTest_VarUnequal","Exp",239842645,10000,20,20,2,1,0,0.9957,0.994014439520463,0.997385560479537,0.9994,0.998920044062022,0.999879955937978,0.9998,0.999567385133966,1.00003261486603,9998,9994,9957
"TTest_VarUnequal","Exp",1012574,10000,20,20,2,0.5,0,0.6951,0.683240996011561,0.70695900398844,0.8609,0.854117403362251,0.867682596637749,0.9184,0.913896741067005,0.922903258932995,9184,8609,6951
"TTest_VarUnequal","Exp",75320969,10000,20,20,2,0.25,0,0.1725,0.162767500062163,0.182232499937837,0.3775,0.367998673829407,0.387001326170593,0.5012,0.492975023688034,0.509424976311966,5012,3775,1725
"TTest_VarUnequal","Exp",22949,10000,20,20,2,0.125,0,0.0324,0.0278389346618773,0.0369610653381227,0.1279,0.121354022822038,0.134445977177962,0.2124,0.205671844624297,0.219128155375703,2124,1279,324
"TTest_VarUnequal","Exp",68231,10000,20,20,2.5,1,0,0.9997,0.999253890643434,1.00014610935657,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9997
"TTest_VarUnequal","Exp",71905798,10000,20,20,2.5,0.5,0,0.8624,0.853526203814589,0.871273796185412,0.9523,0.948122637603272,0.956477362396728,0.9748,0.97222175649164,0.97737824350836,9748,9523,8624
"TTest_VarUnequal","Exp",87987910,10000,20,20,2.5,0.25,0,0.2853,0.273667886381727,0.296932113618273,0.526,0.51621325856886,0.53578674143114,0.644,0.636123489887012,0.651876510112988,6440,5260,2853
"TTest_VarUnequal","Exp",419288,10000,20,20,2.5,0.125,0,0.0586,0.0525496323727641,0.0646503676272359,0.1827,0.175126160554012,0.190273839445988,0.2805,0.273109943917711,0.287890056082289,2805,1827,586
"TTest_VarUnequal","Exp",41003,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",118756341,10000,20,20,5,0.5,0,0.9997,0.999253890643434,1.00014610935657,1,1,1,1,1,1,10000,10000,9997
"TTest_VarUnequal","Exp",40240389,10000,20,20,5,0.25,0,0.8647,0.855888953636916,0.873511046363084,0.9532,0.949060279550308,0.957339720449692,0.9772,0.974744584150006,0.979655415849994,9772,9532,8647
"TTest_VarUnequal","Exp",57369059,10000,20,20,5,0.12,0,0.2636,0.252250533388432,0.274949466611568,0.4891,0.479302328952736,0.498897671047264,0.6021,0.594048307408192,0.610151692591808,6021,4891,2636
"TTest_VarUnequal","Exp",42541,10000,20,20,0,1.5,1,0.0071,0.00493714308998861,0.00926285691001139,0.0468,0.0426602795503078,0.0509397204496922,0.0965,0.0916427144288837,0.101357285571116,965,468,71
"TTest_VarUnequal","Exp",531927,10000,20,20,0.5,1.5,0,0.4345,0.42173099509744,0.44726900490256,0.661,0.651721951248242,0.670278048751758,0.7648,0.757823164221626,0.771776835778374,7648,6610,4345
"TTest_VarUnequal","Exp",29298,10000,20,20,1,1.5,0,0.9515,0.945966229749041,0.957033770250959,0.9881,0.985974652239656,0.990225347760344,0.9942,0.99295084371198,0.99544915628802,9942,9881,9515
"TTest_VarUnequal","Exp",62020638,10000,20,20,1.5,1.5,0,0.9979,0.996720768647472,0.999079231352528,0.9998,0.999522841861747,1.00007715813825,1,1,1,10000,9998,9979
"TTest_VarUnequal","Exp",6737008,10000,20,20,2,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",3443104,10000,20,20,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",94131139,10000,20,20,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",903870,10000,100,100,0,1,1,0.011,0.00831316902087236,0.0136868309791276,0.0485,0.0442895226351398,0.0527104773648602,0.1014,0.0964344416810292,0.106365558318971,1014,485,110
"TTest_VarUnequal","Exp",23864396,10000,100,100,0,0.5,1,0.0097,0.00717526898390819,0.0122247310160918,0.0486,0.0443854056605173,0.0528145943394827,0.1019,0.0969235993001995,0.106876400699801,1019,486,97
"TTest_VarUnequal","Exp",1998324,10000,100,100,0,0.25,1,0.0103,0.00769914430765258,0.0129008556923474,0.0509,0.0465920470719378,0.0552079529280622,0.1007,0.0957496838681984,0.105650316131802,1007,509,103
"TTest_VarUnequal","Exp",24083265,10000,100,100,0,0.125,1,0.0084,0.00604899387398841,0.0107510061260116,0.0491,0.0448648944251176,0.0533351055748824,0.0978,0.0929136255890589,0.102686374410941,978,491,84
"TTest_VarUnequal","Exp",797525,10000,100,100,0.5,1,0,0.8233,0.813474759468149,0.833125240531851,0.9368,0.932030882182038,0.941569117817962,0.9664,0.963435755644081,0.969364244355919,9664,9368,8233
"TTest_VarUnequal","Exp",80446,10000,100,100,0.5,0.5,0,0.2101,0.19960590619896,0.22059409380104,0.422,0.412319980859523,0.431680019140477,0.543,0.534805472498216,0.551194527501784,5430,4220,2101
"TTest_VarUnequal","Exp",32160094,10000,100,100,0.5,0.25,0,0.0485,0.0429662297490409,0.0540337702509591,0.1484,0.141432277463159,0.155367722536841,0.2305,0.22357203509143,0.23742796490857,2305,1484,485
"TTest_VarUnequal","Exp",24247,10000,100,100,0.5,0.125,0,0.0157,0.0124977190820642,0.0189022809179358,0.0731,0.0679981087053525,0.0782018912946475,0.1332,0.127610442012073,0.138789557987927,1332,731,157
"TTest_VarUnequal","Exp",3897128,10000,100,100,1,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",119636125,10000,100,100,1,0.5,0,0.819,0.809081931647422,0.828918068352578,0.9371,0.932341453001766,0.941858546998234,0.9642,0.961143735202588,0.967256264797412,9642,9371,8190
"TTest_VarUnequal","Exp",64423931,10000,100,100,1,0.25,0,0.225,0.214243079251012,0.235756920748988,0.4447,0.434960122991249,0.454439877008751,0.5665,0.55834807059069,0.57465192940931,5665,4447,2250
"TTest_VarUnequal","Exp",39668,10000,100,100,1,0.125,0,0.0447,0.0393768401345426,0.0500231598654574,0.1458,0.138883050309739,0.152716949690261,0.2322,0.225254219352449,0.239145780647551,2322,1458,447
"TTest_VarUnequal","Exp",66713481,10000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",3782341,10000,100,100,1.5,0.5,0,0.9947,0.992829619989089,0.996570380010911,0.9996,0.999208078407842,0.999991921592158,0.9999,0.999735508225206,1.00006449177479,9999,9996,9947
"TTest_VarUnequal","Exp",10833278,10000,100,100,1.5,0.25,0,0.518,0.505128348945936,0.530871651054065,0.748,0.739490439296885,0.756509560703115,0.8376,0.831532954540338,0.843667045459662,8376,7480,5180
"TTest_VarUnequal","Exp",3503451,10000,100,100,1.5,0.125,0,0.107,0.099037242735233,0.114962757264767,0.2666,0.257933243463071,0.275266756536929,0.3815,0.373509333128933,0.389490666871067,3815,2666,1070
"TTest_VarUnequal","Exp",32819,10000,100,100,2,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",27780,10000,100,100,2,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",110230424,10000,100,100,2,0.25,0,0.8153,0.805303728857638,0.825296271142362,0.9345,0.929650841561673,0.939349158438327,0.9661,0.963123013998861,0.969076986001139,9661,9345,8153
"TTest_VarUnequal","Exp",6970527,10000,100,100,2,0.125,0,0.2166,0.205988742136177,0.227211257863823,0.4317,0.42199186238985,0.44140813761015,0.5527,0.54452081401466,0.560879185985339,5527,4317,2166
"TTest_VarUnequal","Exp",83055,10000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",214206742,10000,100,100,2.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",223463,10000,100,100,2.5,0.25,0,0.957,0.951774401295775,0.962225598704225,0.9905,0.988598724228314,0.992401275771686,0.9959,0.994848847574338,0.996951152425662,9959,9905,9570
"TTest_VarUnequal","Exp",105868375,10000,100,100,2.5,0.125,0,0.3575,0.345154165586725,0.369845834413275,0.6005,0.590900005835418,0.610099994164582,0.7169,0.70948919941437,0.72431080058563,7169,6005,3575
"TTest_VarUnequal","Exp",165777940,10000,100,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",4101147,10000,100,100,5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",5340233,10000,100,100,5,0.25,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",1349058,10000,100,100,5,0.12,0,0.9434,0.937447464279507,0.949352535720493,0.9862,0.983913463630379,0.988486536369621,0.9942,0.99295084371198,0.99544915628802,9942,9862,9434
"TTest_VarUnequal","Exp",33832003,10000,100,100,0,1.5,1,0.0113,0.00857718993386318,0.0140228100661368,0.0495,0.0452485729501731,0.0537514270498269,0.1025,0.0975106374420799,0.10748936255792,1025,495,113
"TTest_VarUnequal","Exp",334820166,10000,100,100,0.5,1.5,0,0.9933,0.99119852862938,0.99540147137062,0.9987,0.997993771446627,0.999406228553373,0.9997,0.999415120383714,0.999984879616286,9997,9987,9933
"TTest_VarUnequal","Exp",654066,10000,100,100,1,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",65345688,10000,100,100,1.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",19366,10000,100,100,2,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",511034,10000,100,100,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",3112322,10000,100,100,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","Exp",48552102,10000,10,100,0,1,1,0.0441,0.0388110265828099,0.0493889734171901,0.0951,0.08935028095309,0.10084971904691,0.1454,0.139601314566982,0.151198685433018,1454,951,441
"TTest_VarUnequal","Exp",1179993,10000,10,100,0,0.5,1,0.0413,0.0361741930192938,0.0464258069807062,0.0891,0.0835161945995227,0.0946838054004773,0.1383,0.132621220069524,0.143978779930476,1383,891,413
"TTest_VarUnequal","Exp",1525834,10000,10,100,0,0.25,1,0.038,0.0330747850051394,0.0429252149948606,0.0855,0.0800193636902272,0.0909806363097728,0.1323,0.126726466406509,0.137873533593491,1323,855,380
"TTest_VarUnequal","Exp",49134120,10000,10,100,0,0.125,1,0.0384,0.0334499601159037,0.0433500398840963,0.0915,0.0858489508549297,0.0971510491450703,0.1383,0.132621220069524,0.143978779930476,1383,915,384
"TTest_VarUnequal","Exp",93676,10000,10,100,0.5,1,0,0.2637,0.252349151587645,0.275050848412355,0.4132,0.403548800781167,0.422851199218833,0.5039,0.495675250208306,0.512124749791694,5039,4132,2637
"TTest_VarUnequal","Exp",2030835,10000,10,100,0.5,0.5,0,0.126,0.117451560398388,0.134548439601612,0.229,0.220764290835635,0.237235709164365,0.3038,0.296234688816717,0.311365311183283,3038,2290,1260
