"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","Logistic",656263,10000,10,10,3,2,0,0.4598,0.446961696683156,0.472638303316844,0.5988,0.589193229199695,0.608406770800305,0.7234,0.716041636425461,0.730758363574539,7234,5988,4598
"Gastwirth","Logistic",167370705,10000,10,10,5,2,0,0.7669,0.75600853339161,0.77779146660839,0.8759,0.86943796620015,0.88236203379985,0.9285,0.924261522547025,0.932738477452975,9285,8759,7669
"Gastwirth","Logistic",216299,10000,20,20,0,1,1,0.0481,0.0425879384266081,0.0536120615733919,0.1339,0.127225321079902,0.140574678920098,0.2205,0.213680096038112,0.227319903961888,2205,1339,481
"Gastwirth","Logistic",1058769,10000,20,20,0,3,1,0.037,0.0321374972014815,0.0418625027985185,0.1205,0.114119311889772,0.126880688110228,0.2002,0.193617533784675,0.206782466215325,2002,1205,370
"Gastwirth","Logistic",16835738,10000,20,20,0,5,1,0.0423,0.0371152145930525,0.0474847854069475,0.1267,0.120180322571047,0.133219677428953,0.21,0.203299779499897,0.216700220500103,2100,1267,423
"Gastwirth","Logistic",2673347,10000,20,20,0,2,1,0.0448,0.0394711680741746,0.0501288319258254,0.126,0.119495752477035,0.132504247522965,0.2072,0.200532813579447,0.213867186420553,2072,1260,448
"Gastwirth","Logistic",244147,10000,20,20,0.5,1,0,0.0958,0.0882184000530801,0.10338159994692,0.2134,0.205369728109808,0.221430271890192,0.3097,0.302094015401621,0.317305984598379,3097,2134,958
"Gastwirth","Logistic",85803562,10000,20,20,1.5,1,0,0.4821,0.469228256407884,0.494971743592116,0.6904,0.681338357201125,0.699461642798875,0.7815,0.774702392035107,0.788297607964893,7815,6904,4821
"Gastwirth","Logistic",6000451,10000,20,20,2,1,0,0.6963,0.684454143911449,0.708145856088551,0.8637,0.856975105754765,0.870424894245235,0.9191,0.914614389639974,0.923585610360026,9191,8637,6963
"Gastwirth","Logistic",47991843,10000,20,20,2.5,1,0,0.8576,0.848597912301814,0.866602087698186,0.9544,0.95031112618654,0.95848887381346,0.9764,0.973902900836651,0.978897099163349,9764,9544,8576
"Gastwirth","Logistic",305238372,10000,20,20,0.5,3,0,0.0475,0.0420206990372859,0.0529793009627141,0.1363,0.129575105754765,0.143024894245235,0.226,0.219119965718835,0.232880034281165,2260,1363,475
"Gastwirth","Logistic",29682100,10000,20,20,1.5,3,0,0.0895,0.0821464448917819,0.0968535551082181,0.2069,0.198960369495852,0.214839630504148,0.3048,0.297227692087719,0.312372307912281,3048,2069,895
"Gastwirth","Logistic",108009,10000,20,20,2,3,0,0.1325,0.123766495676992,0.141233504323008,0.2778,0.269020881035913,0.286579118964087,0.3849,0.376895896029288,0.392904103970712,3849,2778,1325
"Gastwirth","Logistic",142118,10000,20,20,2.5,3,0,0.1797,0.169809773150285,0.189590226849715,0.3437,0.334391128409437,0.353008871590563,0.4558,0.44760720040939,0.46399279959061,4558,3437,1797
"Gastwirth","Logistic",22903416,10000,20,20,1,1,0,0.2446,0.233527069468421,0.255672930531579,0.4415,0.431767307235919,0.451232692764081,0.5537,0.545522574287909,0.561877425712091,5537,4415,2446
"Gastwirth","Logistic",81612999,10000,20,20,1,3,0,0.0628,0.0565505496723299,0.0690494503276701,0.166,0.158707219526134,0.173292780473866,0.2538,0.24664121476786,0.26095878523214,2538,1660,628
"Gastwirth","Logistic",44128,10000,20,20,5,1,0,0.9991,0.998327547838281,0.999872452161719,0.9998,0.999522841861747,1.00007715813825,0.9999,0.999735508225206,1.00006449177479,9999,9998,9991
"Gastwirth","Logistic",80979971,10000,20,20,5,3,0,0.5504,0.537585601585576,0.563214398414424,0.7459,0.737367059693728,0.754432940306272,0.8276,0.821386378798189,0.833813621201811,8276,7459,5504
