"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarUnequal","Cauchy",56632,1000,10,10,2.5,1,2,0,0.041,0.0248472269704549,0.0571527730295451,0.122,0.101714615468274,0.142285384531726,0.19,0.16959271582253,0.21040728417747
"Bayes_TTest_VarUnequal","Cauchy",152302,1000,20,20,0,1,1,1,0,0,0,0.014,0.00671786800449209,0.0212821319955079,0.044,0.0333310621147183,0.0546689378852817
"Bayes_TTest_VarUnequal","Cauchy",3238569,1000,20,20,0,0.5,0.5,1,0,0,0,0.015,0.00746610061123723,0.0225338993887628,0.048,0.0368799946762603,0.0591200053237397
"Bayes_TTest_VarUnequal","Cauchy",66917517,1000,20,20,0,2,2,1,0.002,-0.00163936929920556,0.00563936929920556,0.018,0.00975960428134668,0.0262403957186533,0.044,0.0333310621147183,0.0546689378852817
"Bayes_TTest_VarUnequal","Cauchy",912983,1000,20,20,0,0.5,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.016,0.00822297290733792,0.0237770270926621,0.047,0.0359906600663346,0.0580093399336654
"Bayes_TTest_VarUnequal","Cauchy",1386950,1000,20,20,0,1,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.015,0.00746610061123723,0.0225338993887628,0.046,0.0351026975310401,0.0568973024689599
"Bayes_TTest_VarUnequal","Cauchy",1268660,1000,20,20,0.5,1,1,0,0.005,-0.000745692786775151,0.0107456927867752,0.025,0.0153232753475156,0.0346767246524844,0.077,0.0631320548466977,0.0908679451533023
"Bayes_TTest_VarUnequal","Cauchy",1862028,1000,20,20,0.5,0.5,0.5,0,0.016,0.00577876439250127,0.0262212356074987,0.055,0.0408696369473392,0.0691303630526608,0.117,0.10027988789586,0.13372011210414
"Bayes_TTest_VarUnequal","Cauchy",123148339,1000,20,20,0.5,2,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.02,0.011322710100498,0.028677289899502,0.046,0.0351026975310401,0.0568973024689599
"Bayes_TTest_VarUnequal","Cauchy",18446788,1000,20,20,0.5,0.5,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.022,0.0129084728675541,0.0310915271324459,0.062,0.0494552166260234,0.0745447833739766
