"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"TTest_VarUnequal","Cauchy",2334771,1000,20,20,0,1,1,1,0.001,-0.0015747116778389,0.0035747116778389,0.015,0.00746610061123723,0.0225338993887628,0.053,0.0413458976847206,0.0646541023152794
"TTest_VarUnequal","Cauchy",3305558,1000,20,20,0,0.5,0.5,1,0,0,0,0.014,0.00671786800449209,0.0212821319955079,0.047,0.0359906600663346,0.0580093399336654
"TTest_VarUnequal","Cauchy",683734,1000,20,20,0,2,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.013,0.0059792044895183,0.0200207955104817,0.059,0.046742928491071,0.071257071508929
"TTest_VarUnequal","Cauchy",47721878,1000,20,20,0,0.5,2,1,0.003,-0.00145506520895037,0.00745506520895037,0.019,0.0105381099983514,0.0274618900016486,0.065,0.0521758559983522,0.0778241440016478
"TTest_VarUnequal","Cauchy",72405,1000,20,20,0,1,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.022,0.0129084728675541,0.0310915271324459,0.053,0.0413458976847206,0.0646541023152794
"TTest_VarUnequal","Cauchy",13758163,1000,20,20,0.5,1,1,0,0.003,-0.00145506520895037,0.00745506520895037,0.033,0.0219279948699434,0.0440720051300566,0.072,0.0585535965254645,0.0854464034745355
"TTest_VarUnequal","Cauchy",490348,1000,20,20,0.5,0.5,0.5,0,0.018,0.00716976562691277,0.0288302343730872,0.055,0.0408696369473392,0.0691303630526608,0.118,0.1012180973099,0.1347819026901
"TTest_VarUnequal","Cauchy",77142463,1000,20,20,0.5,2,2,0,0.002,-0.00163936929920556,0.00563936929920556,0.011,0.00453526749199938,0.0174647325080006,0.039,0.0289292944152358,0.0490707055847642
"TTest_VarUnequal","Cauchy",43275851,1000,20,20,0.5,0.5,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.026,0.0161367004303834,0.0358632995696166,0.09,0.0751129772116786,0.104887022788321
"TTest_VarUnequal","Cauchy",279302285,1000,20,20,0.5,1,2,0,0.003,-0.00145506520895037,0.00745506520895037,0.023,0.0137088970730058,0.0322911029269942,0.07,0.0567273880679047,0.0832726119320954
